Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Soares, J.V.B., Leandro, J.J.G., Cesar Jr., R.M., Jelinek, H.F., Cree, M.J.","14324025000; 8048312000; 6603875187; 6701411651; 6701319560","Retinal vessel segmentation using the 2-D Gabor wavelet and supervised classification",2006,"IEEE Transactions on Medical Imaging",25,"9", 1677727,1214,1222,,1083,10.1109/TMI.2006.879967,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33748099339&partnerID=40&md5=cf0d4df68b4c718de246eb93a3ce7027",Article,Final,,Scopus,2-s2.0-33748099339
"Scarselli, F., Gori, M., Tsoi, A.C., Hagenbuchner, M., Monfardini, G.","6603295429; 7005254436; 7005107318; 6602995698; 14039630300","The graph neural network model",2009,"IEEE Transactions on Neural Networks",20,"1",,61,80,,1031,10.1109/TNN.2008.2005605,"https://www.scopus.com/inward/record.url?eid=2-s2.0-58649113008&partnerID=40&md5=90751680751a88b709c66a92e19f84fe",Article,Final,,Scopus,2-s2.0-58649113008
"Karantonis, D.M., Narayanan, M.R., Mathie, M., Lovell, N.H., Celler, B.G.","11441023400; 11440220900; 6603444273; 7006684228; 7007177311","Implementation of a real-time human movement classifier using a triaxial accelerometer for ambulatory monitoring",2006,"IEEE Transactions on Information Technology in Biomedicine",10,"1",,156,167,,908,10.1109/TITB.2005.856864,"https://www.scopus.com/inward/record.url?eid=2-s2.0-30744436064&partnerID=40&md5=1c0c6e952b525373d3868791e362739d",Article,Final,,Scopus,2-s2.0-30744436064
"Mirjalili, S.","51461922300","Dragonfly algorithm: a new meta-heuristic optimization technique for solving single-objective, discrete, and multi-objective problems",2016,"Neural Computing and Applications",27,"4",,1053,1073,,865,10.1007/s00521-015-1920-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930165782&partnerID=40&md5=8114ee175bd60688de616e8e227f4d4b",Article,Final,,Scopus,2-s2.0-84930165782
"Naseem, I., Togneri, R., Bennamoun, M.","55404889800; 6603345772; 7004376121","Linear regression for face recognition",2010,"IEEE Transactions on Pattern Analysis and Machine Intelligence",32,"11", 5506092,2106,2112,,768,10.1109/TPAMI.2010.128,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78149282850&partnerID=40&md5=02f4d4efb61436efcffce9ba6dd67db7",Article,Final,,Scopus,2-s2.0-78149282850
"Geng, X., Zhou, Z.-H., Smith-Miles, K.","26656636600; 55365262700; 55369980900","Automatic age estimation based on facial aging patterns",2007,"IEEE Transactions on Pattern Analysis and Machine Intelligence",29,"12",,2234,2240,,675,10.1109/TPAMI.2007.70733,"https://www.scopus.com/inward/record.url?eid=2-s2.0-36248946626&partnerID=40&md5=1880d9890aceed97fa380a28c8f18d3d",Article,Final,,Scopus,2-s2.0-36248946626
"Chen, Y., Zhao, X., Jia, X.","15059992600; 56041606200; 7201933692","Spectral-Spatial Classification of Hyperspectral Data Based on Deep Belief Network",2015,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",8,"6", 7018910,2381,2392,,599,10.1109/JSTARS.2015.2388577,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027942618&partnerID=40&md5=a7e6db1d608c5c30c2ac7f15ffbb226f",Article,Final,,Scopus,2-s2.0-85027942618
"Phung, S.L., Bouzerdoum, A., Chai, D.","7801638780; 35570413200; 7007119525","Skin segmentation using color pixel classification: Analysis and comparison",2005,"IEEE Transactions on Pattern Analysis and Machine Intelligence",27,"1",,148,154,,594,10.1109/TPAMI.2005.17,"https://www.scopus.com/inward/record.url?eid=2-s2.0-13344275139&partnerID=40&md5=41c5cde2be79d1113dc73cb5c019aab3",Article,Final,,Scopus,2-s2.0-13344275139
"Li, X., Yao, X.","12241812800; 7402530404","Cooperatively coevolving particle swarms for large scale optimization",2012,"IEEE Transactions on Evolutionary Computation",16,"2", 5910380,210,224,,508,10.1109/TEVC.2011.2112662,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859719176&partnerID=40&md5=e8bfee4a317459af28598114d4fa4cd1",Article,Final,Open Access,Scopus,2-s2.0-84859719176
"Dissanayake, S.D., Armstrong, J.","54406857200; 7403155964","Comparison of ACO-OFDM, DCO-OFDM and ADO-OFDM in IM/DD systems",2013,"Journal of Lightwave Technology",31,"7", 6415964,1063,1072,,427,10.1109/JLT.2013.2241731,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84873654795&partnerID=40&md5=981b606a16c3e3a94688397c1e2ca392",Article,Final,,Scopus,2-s2.0-84873654795
"Ong, Y.-S., Lim, M.-H., Zhu, N., Wong, K.-W.","7006735298; 7201473152; 36923123700; 7404759276","Classification of adaptive memetic algorithms: A comparative study",2006,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",36,"1",,141,152,,425,10.1109/TSMCB.2005.856143,"https://www.scopus.com/inward/record.url?eid=2-s2.0-31744449012&partnerID=40&md5=e08920c457132a53249e4f535256c365",Article,Final,,Scopus,2-s2.0-31744449012
"Mian, A.S., Bennamoun, M., Owens, R.","7006066881; 7004376121; 7201383986","An efficient multimodal 2D-3D hybrid approach to automatic face recognition",2007,"IEEE Transactions on Pattern Analysis and Machine Intelligence",29,"11",,1927,1943,,403,10.1109/TPAMI.2007.1105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34548790146&partnerID=40&md5=260b5b0cc64c18461bb67c9764b7a4c0",Article,Final,,Scopus,2-s2.0-34548790146
