Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bengio, Y., Courville, A., Vincent, P.","7003958245; 6507291186; 57203214842","Representation learning: A review and new perspectives",2013,"IEEE Transactions on Pattern Analysis and Machine Intelligence",35,"8", 6472238,1798,1828,,4771,10.1109/TPAMI.2013.50,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84879854889&partnerID=40&md5=d22bfafd7e0d6cb389c5245bc9f7d64e",Article,Final,,Scopus,2-s2.0-84879854889
"Kschischang, F.R., Frey, B.J., Loeliger, H.-A.","7003424832; 35459307900; 7003734843","Factor graphs and the sum-product algorithm",2001,"IEEE Transactions on Information Theory",47,"2",,498,519,,4301,10.1109/18.910572,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0035246564&partnerID=40&md5=7b74092f20e16d9953c30e74abef67bc",Article,Final,,Scopus,2-s2.0-0035246564
"Boykov, Y., Kolmogorov, V.","6601977844; 7006596141","An experimental comparison of min-cut/max-flow algorithms for energy minimization in vision",2004,"IEEE Transactions on Pattern Analysis and Machine Intelligence",26,"9",,1124,1137,,3513,10.1109/TPAMI.2004.60,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4344598245&partnerID=40&md5=8c6892c85714c1aa6b0611ffcb7c50a8",Article,Final,,Scopus,2-s2.0-4344598245
"Smith, R.G.","7410293231","The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver",1980,"IEEE Transactions on Computers",C-29,"12",,1104,1113,,2384,10.1109/TC.1980.1675516,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019180974&partnerID=40&md5=9543de938ab37c7bf5aacd938d2e2291",Article,Final,,Scopus,2-s2.0-0019180974
"Uschold, M., Gruninger, M.","6602755750; 7003469467","Ontologies: Principles, methods and applications",1996,"Knowledge Engineering Review",11,"2",,93,136,,2266,10.1017/s0269888900007797,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0030166318&partnerID=40&md5=c905f4d4b7f0965aeac5c8d8d12f0159",Article,Final,,Scopus,2-s2.0-0030166318
"Mackworth, A.K.","7004912654","Consistency in networks of relations",1977,"Artificial Intelligence",8,"1",,99,118,,1529,10.1016/0004-3702(77)90007-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-49449120803&partnerID=40&md5=64d54916f439245e2505d7b6254604c5",Article,Final,,Scopus,2-s2.0-49449120803
"Klein, A., Andersson, J., Ardekani, B.A., Ashburner, J., Avants, B., Chiang, M.-C., Christensen, G.E., Collins, D.L., Gee, J., Hellier, P., Song, J.H., Jenkinson, M., Lepage, C., Rueckert, D., Thompson, P., Vercauteren, T., Woods, R.P., Mann, J.J., Parsey, R.V.","8937780100; 7201501414; 7003343403; 7004536701; 6602804684; 57142825600; 7202944649; 7403254132; 57202708522; 6701865649; 55500877400; 7004366857; 7003408844; 7004895812; 7403220237; 23010613000; 7401707283; 35311483200; 6701501612","Evaluation of 14 nonlinear deformation algorithms applied to human brain MRI registration",2009,"NeuroImage",46,"3",,786,802,,1440,10.1016/j.neuroimage.2008.12.037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-64949166881&partnerID=40&md5=984d863141ac91475d8b7c7681948018",Article,Final,,Scopus,2-s2.0-64949166881
"Beer, C., Reichstein, M., Tomelleri, E., Ciais, P., Jung, M., Carvalhais, N., Rödenbeck, C., Arain, M.A., Baldocchi, D., Bonan, G.B., Bondeau, A., Cescatti, A., Lasslop, G., Lindroth, A., Lomas, M., Luyssaert, S., Margolis, H., Oleson, K.W., Roupsard, O., Veenendaal, E., Viovy, N., Williams, C., Woodward, F.I., Papale, D.","23007496500; 57206534330; 16445147700; 55399842300; 55715135500; 16444367600; 16053439600; 7003650034; 7005870626; 7005557215; 6602822939; 6602126569; 23567961700; 7006762240; 7004471194; 6602635049; 7101693225; 6603901951; 6602797994; 6604003297; 57192414605; 55707271400; 7005902678; 15081024700","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,"Science",329,"5993",,834,838,,1351,10.1126/science.1184984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955623505&partnerID=40&md5=3905a2de497a409d24445dc2a14a096d",Article,Final,,Scopus,2-s2.0-77955623505
"Cohen, P.R., Levesque, H.J.","55237700500; 7103141050","Intention is choice with commitment",1990,"Artificial Intelligence",42,"2-3",,213,261,,1136,10.1016/0004-3702(90)90055-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025403233&partnerID=40&md5=3d2e456911abe1ce489506ced962beb3",Article,Final,,Scopus,2-s2.0-0025403233
"Pawlak, L., Grzvmala-Busse, L., Slowinski, R., Ziarko, W.","57211128597; 57190037900; 7005666095; 57212600617","Rough Sets",1995,"Communications of the ACM",38,"11",,88,95,,806,10.1145/219717.219791,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0029405527&partnerID=40&md5=3d73139f76d383a992c4670fe2ae3d34",Article,Final,,Scopus,2-s2.0-0029405527
"Ben-David, S., Blitzer, J., Crammer, K., Kulesza, A., Pereira, F., Vaughan, J.W.","7004280914; 6603456492; 57207502492; 23474012000; 56002780800; 35097882600","A theory of learning from different domains",2010,"Machine Learning",79,"1-2",,151,175,,753,10.1007/s10994-009-5152-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897573740&partnerID=40&md5=db7a0c304ac1b51e4f973fc750a3948c",Article,Final,Open Access,Scopus,2-s2.0-84897573740
