Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Han, J., Shao, L., Xu, D., Shotton, J.","14522692900; 55643855000; 35231499000; 23019722900","Enhanced computer vision with Microsoft Kinect sensor: A review",2013,"IEEE Transactions on Cybernetics",43,"5",,1318,1334,,889,10.1109/TCYB.2013.2265378,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890399408&partnerID=40&md5=0c736a744109d418dba8ffeed18c6b4a",Article,Final,,Scopus,2-s2.0-84890399408
"Chen, S., Zhang, D.","7410249270; 7405356869","Robust image segmentation using FCM with spatial constraints based on new kernel-induced distance measure",2004,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",34,"4",,1907,1916,,883,10.1109/TSMCB.2004.831165,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3543098627&partnerID=40&md5=9bd7447dc783677f74543619c63286d7",Article,Final,,Scopus,2-s2.0-3543098627
"Jia, F., Lei, Y., Lin, J., Zhou, X., Lu, N.","35190546800; 8905846900; 55710008100; 56964567300; 57205731416","Deep neural networks: A promising tool for fault characteristic mining and intelligent diagnosis of rotating machinery with massive data",2016,"Mechanical Systems and Signal Processing",72-73,"",,303,315,,839,10.1016/j.ymssp.2015.10.025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955693855&partnerID=40&md5=25b32521f0a255d6b58ff3af2730d297",Article,Final,,Scopus,2-s2.0-84955693855
"Cheng, G., Zhou, P., Han, J.","36801169800; 55847670300; 24450644400","Learning Rotation-Invariant Convolutional Neural Networks for Object Detection in VHR Optical Remote Sensing Images",2016,"IEEE Transactions on Geoscience and Remote Sensing",54,"12",,7405,7415,,759,10.1109/TGRS.2016.2601622,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027047340&partnerID=40&md5=1a32b7cd492523bcef8bf773119e2937",Article,Final,,Scopus,2-s2.0-85027047340
"Zhang, T.P., Ge, S.S.","7404373369; 25924925100","Adaptive dynamic surface control of nonlinear systems with unknown dead zone in pure feedback form",2008,"Automatica",44,"7",,1895,1903,,622,10.1016/j.automatica.2007.11.025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45849090294&partnerID=40&md5=db3333aac55f8aad52ef4c55dc8b90b3",Article,Final,,Scopus,2-s2.0-45849090294
"He, Q., Wang, L.","15053551000; 55312114400","An effective co-evolutionary particle swarm optimization for constrained engineering design problems",2007,"Engineering Applications of Artificial Intelligence",20,"1",,89,99,,618,10.1016/j.engappai.2006.03.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750625354&partnerID=40&md5=5fb7a2995bc86ce10bcd197154c37423",Article,Final,,Scopus,2-s2.0-33750625354
"Hu, Q., Yu, D., Liu, J., Wu, C.","7403214664; 7404666356; 36619486400; 7501672854","Neighborhood rough set based heterogeneous feature subset selection",2008,"Information Sciences",178,"18",,3577,3594,,612,10.1016/j.ins.2008.05.024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-46749140199&partnerID=40&md5=1de8569a360ff8173fe856c0c1f91905",Article,Final,,Scopus,2-s2.0-46749140199
"Lei, Y., Jia, F., Lin, J., Xing, S., Ding, S.X.","8905846900; 35190546800; 55710008100; 57188864198; 7401542701","An Intelligent Fault Diagnosis Method Using Unsupervised Feature Learning Towards Mechanical Big Data",2016,"IEEE Transactions on Industrial Electronics",63,"5", 7386639,3137,3147,,541,10.1109/TIE.2016.2519325,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963934455&partnerID=40&md5=28be5e330e6cdc17cbe4f57c89783ef6",Article,Final,,Scopus,2-s2.0-84963934455
"Huang, G., Song, S., Gupta, J.N.D., Wu, C.","7403425368; 13310063000; 57203174732; 7501667569","Semi-supervised and unsupervised extreme learning machines",2014,"IEEE Transactions on Cybernetics",44,"12", 2307349,2405,2417,,491,10.1109/TCYB.2014.2307349,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84911944987&partnerID=40&md5=b48f57fab512ebbf0ce570e45889305f",Article,Final,,Scopus,2-s2.0-84911944987
"Jiang, C., Zhang, H., Ren, Y., Han, Z., Chen, K.-C., Hanzo, L.","35766580300; 57189345966; 7403274440; 55767186700; 7410240104; 36043733600","Machine Learning Paradigms for Next-Generation Wireless Networks",2017,"IEEE Wireless Communications",24,"2", 7792374,98,105,,475,10.1109/MWC.2016.1500356WC,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85007303692&partnerID=40&md5=521645d1778b2d862b70c5cefdf8fcbf",Article,Final,,Scopus,2-s2.0-85007303692
