Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Jayadeva, Khemchandani, R., Chandra, S.","55580544200; 8565258500; 35589570700","Twin support vector machines for pattern classification",2007,"IEEE Transactions on Pattern Analysis and Machine Intelligence",29,"5",,905,910,,958,10.1109/TPAMI.2007.1068,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34047225880&partnerID=40&md5=9472ad7aee81837156b1467c6f9eb9b7",Article,Final,,Scopus,2-s2.0-34047225880
"Ravi, K., Ravi, V.","56715152200; 55128072100","A survey on opinion mining and sentiment analysis: Tasks, approaches and applications",2015,"Knowledge-Based Systems",89,"",,14,46,,617,10.1016/j.knosys.2015.06.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944355103&partnerID=40&md5=e53f72eee979db81fe1ad17963d28ae0",Article,Final,,Scopus,2-s2.0-84944355103
"Varma, M., Zisserman, A.","24823171100; 7006619672","A statistical approach to material classification using image patch exemplars",2009,"IEEE Transactions on Pattern Analysis and Machine Intelligence",31,"11",,2032,2047,,479,10.1109/TPAMI.2008.182,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70349850950&partnerID=40&md5=ecbeab66efae4b7f2c63af6bc3796d0d",Article,Final,,Scopus,2-s2.0-70349850950
"Nayak, P.C., Sudheer, K.P., Rangan, D.M., Ramasastri, K.S.","12143137500; 6602154972; 8523615300; 6601980081","A neuro-fuzzy computing technique for modeling hydrological time series",2004,"Journal of Hydrology",291,"1-2",,52,66,,466,10.1016/j.jhydrol.2003.12.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1942490118&partnerID=40&md5=a97f904c6fb9d11ad86e474a918d937c",Article,Final,,Scopus,2-s2.0-1942490118
"Kale, A., Sundaresan, A., Rajagopalan, A.N., Cuntoor, N.P., Roy-Chowdhury, A.K., Krüger, V., Chellappa, R.","36995883100; 7003274345; 16647440100; 55973123200; 7004499486; 7003464904; 57203078416","Identification of humans using gait",2004,"IEEE Transactions on Image Processing",13,"9",,1163,1173,,445,10.1109/TIP.2004.832865,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4344637549&partnerID=40&md5=8cf49d280f7d54e4e5e28afeacc6b2a0",Article,Final,,Scopus,2-s2.0-4344637549
"Singh, A.","35254330000","An artificial bee colony algorithm for the leaf-constrained minimum spanning tree problem",2009,"Applied Soft Computing Journal",9,"2",,625,631,,373,10.1016/j.asoc.2008.09.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-58549117667&partnerID=40&md5=e7592302ba31d1ca1277b6320db457f6",Article,Final,,Scopus,2-s2.0-58549117667
"Saha, S., Raghava, G.P.S.","55554063800; 7003507401","AlgPred: Prediction of allergenic proteins and mapping of IgE epitopes",2006,"Nucleic Acids Research",34,"WEB. SERV. ISS.",,W202,W209,,348,10.1093/nar/gkl343,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33747871140&partnerID=40&md5=cd7d887febf0ac478f4d1e50b0929537",Article,Final,Open Access,Scopus,2-s2.0-33747871140
"Aggarwal, S.K., Saini, L.M., Kumar, A.","56493335100; 7004617304; 57221102815","Electricity price forecasting in deregulated markets: A review and evaluation",2009,"International Journal of Electrical Power and Energy Systems",31,"1",,13,22,,321,10.1016/j.ijepes.2008.09.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57049127603&partnerID=40&md5=bd2ab450d7b6a1d3a0382c3071068a7f",Article,Final,,Scopus,2-s2.0-57049127603
"Chakrabarti, A., Sarkar, P., Leelavathamma, B., Nataraju, B.S.","54790511500; 55755355000; 9746617300; 6701536837","A functional representation for aiding biomimetic and artificial inspiration of new ideas",2006,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",19,"2",,113,132,,317,10.1017/S0890060405050109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33744476708&partnerID=40&md5=f984605434192e220b0304966a9bdbb6",Article,Final,,Scopus,2-s2.0-33744476708
"Bhandari, A.K., Singh, V.K., Kumar, A., Singh, G.K.","25651606700; 57220825313; 57215268681; 57193351909","Cuckoo search algorithm and wind driven optimization based study of satellite image segmentation for multilevel thresholding using Kapur's entropy",2014,"Expert Systems with Applications",41,"7",,3538,3560,,313,10.1016/j.eswa.2013.10.059,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84892371306&partnerID=40&md5=59057844d883247a1edbb5d1621fb738",Article,Final,,Scopus,2-s2.0-84892371306
