Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Nicklow, J., Reed, P., Savic, D., Dessalegne, T., Harrell, L., Chan-Hilton, A., Karamouz, M., Minsker, B., Ostfeld, A., Singh, A., Zechman, E.","6602196988; 7202010819; 35580202000; 56624724000; 7005097889; 6602781656; 56243091200; 6701548472; 7005595203; 57211750996; 6506331398","State of the art for genetic algorithms and beyond in water resources planning and management",2010,"Journal of Water Resources Planning and Management",136,"4", 021003QWR,412,432,,420,10.1061/(ASCE)WR.1943-5452.0000053,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955682503&partnerID=40&md5=b2ce0af079c514de28e8d2ff5c6ad4ca",Article,Final,,Scopus,2-s2.0-77955682503
"Kaveh, A., Talatahari, S.","7005396579; 25634538800","Particle swarm optimizer, ant colony strategy and harmony search scheme hybridized for optimization of truss structures",2009,"Computers and Structures",87,"5-6",,267,283,,347,10.1016/j.compstruc.2009.01.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60049083842&partnerID=40&md5=143438de6caae8bab4b45083e0a8a843",Article,Final,,Scopus,2-s2.0-60049083842
"Sameni, R., Shamsollahi, M.B., Jutten, C., Clifford, G.D.","56034849500; 6602241363; 55138338400; 7004468844","A nonlinear Bayesian filtering framework for ECG denoising",2007,"IEEE Transactions on Biomedical Engineering",54,"12",,2172,2185,,322,10.1109/TBME.2007.897817,"https://www.scopus.com/inward/record.url?eid=2-s2.0-36348946459&partnerID=40&md5=9deadfc376d2300d6db9d4ab91d5df9e",Article,Final,,Scopus,2-s2.0-36348946459
"Modares, H., Lewis, F.L., Naghibi-Sistani, M.-B.","26423177100; 24729085600; 12775636700","Adaptive optimal control of unknown constrained-input systems using policy iteration and neural networks",2013,"IEEE Transactions on Neural Networks and Learning Systems",24,"10", 6583978,1513,1525,,257,10.1109/TNNLS.2013.2276571,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84885176157&partnerID=40&md5=ef3268be74b155880176d5367c09ef71",Article,Final,,Scopus,2-s2.0-84885176157
"Hadavandi, E., Shavandi, H., Ghanbari, A.","36091237800; 24477602300; 34976691100","Integration of genetic fuzzy systems and artificial neural networks for stock price forecasting",2010,"Knowledge-Based Systems",23,"8",,800,808,,240,10.1016/j.knosys.2010.05.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77956340248&partnerID=40&md5=62cb18e920a982ffc05d7b004ef6ac56",Article,Final,,Scopus,2-s2.0-77956340248
"Aghdam, M.H., Ghasem-Aghaee, N., Basiri, M.E.","57194843379; 55664926800; 24467579200","Text feature selection using ant colony optimization",2009,"Expert Systems with Applications",36,"3 PART 2",,6843,6853,,234,10.1016/j.eswa.2008.08.022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-58349085948&partnerID=40&md5=645f13c903db7ec9a9810e24b79c5fc9",Article,Final,,Scopus,2-s2.0-58349085948
"Naghibi, S.A., Pourghasemi, H.R., Dixon, B.","56019843800; 55253664900; 7201441465","GIS-based groundwater potential mapping using boosted regression tree, classification and regression tree, and random forest machine learning models in Iran",2016,"Environmental Monitoring and Assessment",188,"1", 44,1,27,,229,10.1007/s10661-015-5049-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84950296761&partnerID=40&md5=c150da458b6a1bc3341522ffedbc385e",Article,Final,,Scopus,2-s2.0-84950296761
"Jafari-Khouzani, K., Soltanian-Zadeh, H.","55897391100; 34573212500","Radon transform orientation estimation for rotation invariant texture analysis",2005,"IEEE Transactions on Pattern Analysis and Machine Intelligence",27,"6",,1004,1008,,229,10.1109/TPAMI.2005.126,"https://www.scopus.com/inward/record.url?eid=2-s2.0-21244439997&partnerID=40&md5=ae9f53fc07b91c89f31d27d1ef6a7ab9",Article,Final,,Scopus,2-s2.0-21244439997
"Asl, B.M., Setarehdan, S.K., Mohebbi, M.","24398491400; 35570521600; 24725188800","Support vector machine-based arrhythmia classification using reduced features of heart rate variability signal",2008,"Artificial Intelligence in Medicine",44,"1",,51,64,,221,10.1016/j.artmed.2008.04.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-50049126632&partnerID=40&md5=4cb6e4e2d9c498171a889aab34ff7c11",Article,Final,,Scopus,2-s2.0-50049126632
"Nourani, V., Kisi, Ö., Komasi, M.","13906150400; 6507051085; 26027041300","Two hybrid Artificial Intelligence approaches for modeling rainfall-runoff process",2011,"Journal of Hydrology",402,"1-2",,41,59,,217,10.1016/j.jhydrol.2011.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79955025170&partnerID=40&md5=702fb7e11d55cf6bbb461b72ab9f3d49",Article,Final,,Scopus,2-s2.0-79955025170
"Hassanzadeh, E., Zarghami, M., Hassanzadeh, Y.","57200948056; 55665199500; 6506840078","Determining the Main Factors in Declining the Urmia Lake Level by Using System Dynamics Modeling",2012,"Water Resources Management",26,"1",,129,145,,214,10.1007/s11269-011-9909-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-82955233090&partnerID=40&md5=b10f6ef29e3d25a066eb21f79e536dad",Article,Final,,Scopus,2-s2.0-82955233090
"Tabakhi, S., Moradi, P., Akhlaghian, F.","56156702800; 24528924600; 35317125800","An unsupervised feature selection algorithm based on ant colony optimization",2014,"Engineering Applications of Artificial Intelligence",32,"",,112,123,,212,10.1016/j.engappai.2014.03.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900460549&partnerID=40&md5=b27ceccc158af3ed0235607f82fe5541",Article,Final,,Scopus,2-s2.0-84900460549
