Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Katoh, K., Toh, H.","7201809918; 56982604100","Recent developments in the MAFFT multiple sequence alignment program",2008,"Briefings in Bioinformatics",9,"4",,286,298,,2618,10.1093/bib/bbn013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45949107473&partnerID=40&md5=e77dc4b7f4c97ba1f58876e252046425",Article,Final,Open Access,Scopus,2-s2.0-45949107473
"Davison, A.J., Reid, I.D., Molton, N.D., Stasse, O.","7201753749; 55643335100; 6603197451; 23010554900","MonoSLAM: Real-time single camera SLAM",2007,"IEEE Transactions on Pattern Analysis and Machine Intelligence",29,"6",,1052,1067,,2292,10.1109/TPAMI.2007.1049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34247586702&partnerID=40&md5=849423dfff0c04eaac170870d7b6d97a",Article,Final,,Scopus,2-s2.0-34247586702
"Moriya, Y., Itoh, M., Okuda, S., Yoshizawa, A.C., Kanehisa, M.","55520345900; 8523272000; 12769467300; 14033504600; 35397669200","KAAS: An automatic genome annotation and pathway reconstruction server",2007,"Nucleic Acids Research",35,"SUPPL.2",,W182,W185,,2062,10.1093/nar/gkm321,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34547588704&partnerID=40&md5=96c138203cd24242c37d0801b4a87d1d",Article,Final,Open Access,Scopus,2-s2.0-34547588704
"Nakai, K., Kanehisa, M.","7201487617; 35397669200","A knowledge base for predicting protein localization sites in eukaryotic cells",1992,"Genomics",14,"4",,897,911,,1340,10.1016/S0888-7543(05)80111-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0027105007&partnerID=40&md5=d48e66b521cdd553c667c05f08702e9a",Article,Final,,Scopus,2-s2.0-0027105007
"Atkeson, C.G., Moore, A.W., Schaal, S.","35560635200; 55860696200; 7007171558","Locally Weighted Learning",1997,"Artificial Intelligence Review",11,"1-5",,11,73,,1137,10.1007/978-94-017-2053-3_2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0031074521&partnerID=40&md5=39dc050f6cc74a14e7a4a35ce82a6c39",Article,Final,,Scopus,2-s2.0-0031074521
"Nock, R., Nielsen, F.","6701497179; 55167047900","Statistical region merging",2004,"IEEE Transactions on Pattern Analysis and Machine Intelligence",26,"11",,1452,1458,,565,10.1109/TPAMI.2004.110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-12844259686&partnerID=40&md5=4a501e7948da361db9af874c20706216",Article,Final,,Scopus,2-s2.0-12844259686
"Chang, F., Dell, G.S., Bock, K.","7403648601; 7005236894; 7202239632","Becoming syntactic",2006,"Psychological Review",113,"2",,234,272,,563,10.1037/0033-295X.113.2.234,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33744529877&partnerID=40&md5=24eb1ca39b865d256e4ae51c1c8d4387",Article,Final,,Scopus,2-s2.0-33744529877
"Doya, K.","7004163287","Reinforcement learning in continuous time and space",2000,"Neural Computation",12,"1",,219,245,,519,10.1162/089976600300015961,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0033629916&partnerID=40&md5=0c543f42c0fad284eb6f004dad45274f",Article,Final,,Scopus,2-s2.0-0033629916
"Katsuno, H., Mendelzon, A.O.","36942362700; 7003482157","Propositional knowledge base revision and minimal change",1991,"Artificial Intelligence",52,"3",,263,294,,515,10.1016/0004-3702(91)90069-V,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0026383919&partnerID=40&md5=94e24a57129cc0d704d1f79f662cccdd",Article,Final,,Scopus,2-s2.0-0026383919
"Tomita, M., Hashimoto, K., Takahashi, K., Shimizu, T.S., Matsuzaki, Y., Miyoshi, F., Saito, K., Tanida, S., Yugi, K., Venter, J.C., Hutchison III, C.A.","55552897900; 55477134600; 56164560500; 7408147821; 35422716900; 57197264019; 55478696200; 7003355908; 6506782428; 35352327000; 35447395400","E-CELL: Software environment for whole-cell simulation",1999,"Bioinformatics",15,"1",,72,84,,511,10.1093/bioinformatics/15.1.72,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0033031386&partnerID=40&md5=a929811113c003cb5d8b928d397ede4a",Article,Final,,Scopus,2-s2.0-0033031386
