Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rodriguez, A., Laio, A.","56038545500; 6701393479","Clustering by fast search and find of density peaks",2014,"Science",344,"6191",,1492,1496,,2281,10.1126/science.1242072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903289127&partnerID=40&md5=f17ce0b458a9df10cc5acc5211d26b1f",Article,Final,,Scopus,2-s2.0-84903289127
"Beer, C., Reichstein, M., Tomelleri, E., Ciais, P., Jung, M., Carvalhais, N., Rödenbeck, C., Arain, M.A., Baldocchi, D., Bonan, G.B., Bondeau, A., Cescatti, A., Lasslop, G., Lindroth, A., Lomas, M., Luyssaert, S., Margolis, H., Oleson, K.W., Roupsard, O., Veenendaal, E., Viovy, N., Williams, C., Woodward, F.I., Papale, D.","23007496500; 57206534330; 16445147700; 55399842300; 55715135500; 16444367600; 16053439600; 7003650034; 7005870626; 7005557215; 6602822939; 6602126569; 23567961700; 7006762240; 7004471194; 6602635049; 7101693225; 6603901951; 6602797994; 6604003297; 57192414605; 55707271400; 7005902678; 15081024700","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,"Science",329,"5993",,834,838,,1351,10.1126/science.1184984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955623505&partnerID=40&md5=3905a2de497a409d24445dc2a14a096d",Article,Final,,Scopus,2-s2.0-77955623505
"Jung, M., Reichstein, M., Ciais, P., Seneviratne, S.I., Sheffield, J., Goulden, M.L., Bonan, G., Cescatti, A., Chen, J., De Jeu, R., Dolman, A.J., Eugster, W., Gerten, D., Gianelle, D., Gobron, N., Heinke, J., Kimball, J., Law, B.E., Montagnani, L., Mu, Q., Mueller, B., Oleson, K., Papale, D., Richardson, A.D., Roupsard, O., Running, S., Tomelleri, E., Viovy, N., Weber, U., Williams, C., Wood, E., Zaehle, S., Zhang, K.","55715135500; 57206534330; 55399842300; 7003499456; 7102636633; 8060387000; 7005557215; 6602126569; 8985856500; 6603549082; 7006563002; 6603954179; 6602972127; 24075870600; 6701592812; 36177721100; 57189939159; 7101676100; 6506296712; 15822203700; 36984121900; 6603901951; 15081024700; 7402534046; 6602797994; 7005395607; 16445147700; 57192414605; 25621824600; 55707271400; 35495958000; 9534656400; 55333061800","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,"Nature",467,"7318",,951,954,,1159,10.1038/nature09396,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78049234152&partnerID=40&md5=c603cfcc69afdee9d186dbe9f35a9084",Article,Final,,Scopus,2-s2.0-78049234152
"Navigli, R.","6507102454","Word sense disambiguation: A survey",2009,"ACM Computing Surveys",41,"2", 10,,,,1046,10.1145/1459352.1459355,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61949087310&partnerID=40&md5=7ac58567753da31cc1424c8a6d88e924",Article,Final,,Scopus,2-s2.0-61949087310
"Scarselli, F., Gori, M., Tsoi, A.C., Hagenbuchner, M., Monfardini, G.","6603295429; 7005254436; 7005107318; 6602995698; 14039630300","The graph neural network model",2009,"IEEE Transactions on Neural Networks",20,"1",,61,80,,1031,10.1109/TNN.2008.2005605,"https://www.scopus.com/inward/record.url?eid=2-s2.0-58649113008&partnerID=40&md5=90751680751a88b709c66a92e19f84fe",Article,Final,,Scopus,2-s2.0-58649113008
"Zambonelli, F., Jennings, N.R., Wooldridge, M.","7006289226; 7005888644; 56800190200","Developing multiagent systems: The Gaia methodology",2003,"ACM Transactions on Software Engineering and Methodology",12,"3",,317,370,,906,10.1145/958961.958963,"https://www.scopus.com/inward/record.url?eid=2-s2.0-2442534971&partnerID=40&md5=30ff56174aa21dd6675d225bb6f01fce",Article,Final,,Scopus,2-s2.0-2442534971
"Capriotti, E., Fariselli, P., Casadio, R.","8851983500; 7004658043; 7004943169","I-Mutant2.0: Predicting stability changes upon mutation from the protein sequence or structure",2005,"Nucleic Acids Research",33,"SUPPL. 2",,W306,W310,,890,10.1093/nar/gki375,"https://www.scopus.com/inward/record.url?eid=2-s2.0-23144461249&partnerID=40&md5=ac482dd13fca888cb6a3f3fa2e934d6b",Article,Final,Open Access,Scopus,2-s2.0-23144461249
"Bellini, A., Filippetti, F., Tassoni, C., Capolino, G.-A.","7006264843; 7003540629; 35560438900; 7004360864","Advances in diagnostic techniques for induction machines",2008,"IEEE Transactions on Industrial Electronics",55,"12",,4109,4126,,846,10.1109/TIE.2008.2007527,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749196360&partnerID=40&md5=23fc76053ce5bbbe94dfb6073fcd4eef",Article,Final,,Scopus,2-s2.0-57749196360
"Cordella, L.P., Foggia, P., Sansone, C., Vento, M.","7004056971; 6603515487; 7004587033; 7006461499","A (sub)graph isomorphism algorithm for matching large graphs",2004,"IEEE Transactions on Pattern Analysis and Machine Intelligence",26,"10",,1367,1372,,788,10.1109/TPAMI.2004.75,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4644303571&partnerID=40&md5=ac3f56372bbf6b83e8c34290a41e4feb",Article,Final,,Scopus,2-s2.0-4644303571
"Maddalena, L., Petrosino, A.","9735344700; 56216845000","A self-organizing approach to background subtraction for visual surveillance applications",2008,"IEEE Transactions on Image Processing",17,"7",,1168,1177,,633,10.1109/TIP.2008.924285,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45949086871&partnerID=40&md5=87c500a507a6868600e036869c7eca08",Article,Final,,Scopus,2-s2.0-45949086871
