Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zeng, Z., Pantic, M., Roisman, G.I., Huang, T.S.","8726803700; 56259551600; 6602728149; 35513984600","A survey of affect recognition methods: Audio, visual, and spontaneous expressions",2009,"IEEE Transactions on Pattern Analysis and Machine Intelligence",31,"1",,39,58,,1878,10.1109/TPAMI.2008.52,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57149144228&partnerID=40&md5=d21ca84f070863ab50e6a76d2b3ba240",Article,Final,,Scopus,2-s2.0-57149144228
"Van De Sande, K., Gevers, T., Snoek, C.","24073773400; 7003472472; 9737430000","Evaluating color descriptors for object and scene recognition",2010,"IEEE Transactions on Pattern Analysis and Machine Intelligence",32,"9", 5204091,1582,1596,,1486,10.1109/TPAMI.2009.154,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955426203&partnerID=40&md5=394e7be9bf06f5a6aab2d8da4f6f0068",Article,Final,,Scopus,2-s2.0-77955426203
"Beer, C., Reichstein, M., Tomelleri, E., Ciais, P., Jung, M., Carvalhais, N., Rödenbeck, C., Arain, M.A., Baldocchi, D., Bonan, G.B., Bondeau, A., Cescatti, A., Lasslop, G., Lindroth, A., Lomas, M., Luyssaert, S., Margolis, H., Oleson, K.W., Roupsard, O., Veenendaal, E., Viovy, N., Williams, C., Woodward, F.I., Papale, D.","23007496500; 57206534330; 16445147700; 55399842300; 55715135500; 16444367600; 16053439600; 7003650034; 7005870626; 7005557215; 6602822939; 6602126569; 23567961700; 7006762240; 7004471194; 6602635049; 7101693225; 6603901951; 6602797994; 6604003297; 57192414605; 55707271400; 7005902678; 15081024700","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,"Science",329,"5993",,834,838,,1351,10.1126/science.1184984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955623505&partnerID=40&md5=3905a2de497a409d24445dc2a14a096d",Article,Final,,Scopus,2-s2.0-77955623505
"Jung, M., Reichstein, M., Ciais, P., Seneviratne, S.I., Sheffield, J., Goulden, M.L., Bonan, G., Cescatti, A., Chen, J., De Jeu, R., Dolman, A.J., Eugster, W., Gerten, D., Gianelle, D., Gobron, N., Heinke, J., Kimball, J., Law, B.E., Montagnani, L., Mu, Q., Mueller, B., Oleson, K., Papale, D., Richardson, A.D., Roupsard, O., Running, S., Tomelleri, E., Viovy, N., Weber, U., Williams, C., Wood, E., Zaehle, S., Zhang, K.","55715135500; 57206534330; 55399842300; 7003499456; 7102636633; 8060387000; 7005557215; 6602126569; 8985856500; 6603549082; 7006563002; 6603954179; 6602972127; 24075870600; 6701592812; 36177721100; 57189939159; 7101676100; 6506296712; 15822203700; 36984121900; 6603901951; 15081024700; 7402534046; 6602797994; 7005395607; 16445147700; 57192414605; 25621824600; 55707271400; 35495958000; 9534656400; 55333061800","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,"Nature",467,"7318",,951,954,,1159,10.1038/nature09396,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78049234152&partnerID=40&md5=c603cfcc69afdee9d186dbe9f35a9084",Article,Final,,Scopus,2-s2.0-78049234152
"Chandrasekaran, B., Josephson, J.R., Benjamins, V.R.","7007057847; 7006803383; 55944949200","What aro ontologies, and why do we need them?",1999,"IEEE Intelligent Systems and Their Applications",14,"1",,20,26,,1107,10.1109/5254.747902,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032732449&partnerID=40&md5=34a4c4057b4d8bcd1fd41e7ce0658f31",Article,Final,,Scopus,2-s2.0-0032732449
"Dana, K.J., Van Ginneken, B., Nayar, S.K., Koenderink, J.J.","6701654434; 55759608800; 35560595700; 7102652413","Reflectance and texture of real-world surfaces",1999,"ACM Transactions on Graphics",18,"1",,1,34,,939,10.1145/300776.300778,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0039006081&partnerID=40&md5=aa7fd1ed003423703d280339de049036",Article,Final,,Scopus,2-s2.0-0039006081
"Han, J., Shao, L., Xu, D., Shotton, J.","14522692900; 55643855000; 35231499000; 23019722900","Enhanced computer vision with Microsoft Kinect sensor: A review",2013,"IEEE Transactions on Cybernetics",43,"5",,1318,1334,,889,10.1109/TCYB.2013.2265378,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890399408&partnerID=40&md5=0c736a744109d418dba8ffeed18c6b4a",Article,Final,,Scopus,2-s2.0-84890399408
"Guo, Y., Liu, Y., Oerlemans, A., Lao, S., Wu, S., Lew, M.S.","55901264100; 57110188500; 23036132300; 7004254256; 55925404400; 57208852387","Deep learning for visual understanding: A review",2016,"Neurocomputing",187,"",,27,48,,808,10.1016/j.neucom.2015.09.116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957837518&partnerID=40&md5=511f5b489b638c930b89513c8bd0ca28",Article,Final,,Scopus,2-s2.0-84957837518
"Yu, W., Chen, G., Cao, M., Kurths, J.","8351508500; 36012928800; 57199509213; 35317963900","Second-Order consensus for multiagent systems with directed topologies and nonlinear dynamics",2010,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",40,"3", 5313874,881,891,,778,10.1109/TSMCB.2009.2031624,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77952581942&partnerID=40&md5=f1f6ecf94fda949ece24b24746d9c6e2",Article,Final,,Scopus,2-s2.0-77952581942
"Van Griethuysen, J.J.M., Fedorov, A., Parmar, C., Hosny, A., Aucoin, N., Narayan, V., Beets-Tan, R.G.H., Fillion-Robin, J.-C., Pieper, S., Aerts, H.J.W.L.","57151135500; 8232501700; 55862758900; 57197806283; 36343350700; 57200787980; 6602873920; 55279746000; 7004506474; 16479697600","Computational radiomics system to decode the radiographic phenotype",2017,"Cancer Research",77,"21",,e104,e107,,775,10.1158/0008-5472.CAN-17-0339,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035021353&partnerID=40&md5=4cf21ca037600813295d86b8fe56a980",Article,Final,Open Access,Scopus,2-s2.0-85035021353
