Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yoon, K.-J., Kweon, I.S.","55932200600; 7003450602","Adaptive support-weight approach for correspondence search",2006,"IEEE Transactions on Pattern Analysis and Machine Intelligence",28,"4",,650,656,,1050,10.1109/TPAMI.2006.70,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33144482417&partnerID=40&md5=63f467c6a796a4ebfa4ae1f18bad4b19",Article,Final,,Scopus,2-s2.0-33144482417
"Kim, J., Lee, M., Shim, H.J., Ghaffari, R., Cho, H.R., Son, D., Jung, Y.H., Soh, M., Choi, C., Jung, S., Chu, K., Jeon, D., Lee, S.-T., Kim, J.H., Choi, S.H., Hyeon, T., Kim, D.-H.","57207439799; 57191729951; 56754645900; 55258653200; 36177169600; 56076777700; 49561234300; 55428822800; 57202811755; 56156075800; 7402452795; 7102964985; 8527655300; 35177673300; 36068182300; 7005950846; 36041912600","Stretchable silicon nanoribbon electronics for skin prosthesis",2014,"Nature Communications",5,"", 5747,,,,761,10.1038/ncomms6747,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923362347&partnerID=40&md5=c165a8268f07e77e07f9e05bef6d923e",Article,Final,Open Access,Scopus,2-s2.0-84923362347
"Bach, S., Binder, A., Montavon, G., Klauschen, F., Müller, K.-R., Samek, W.","56810693900; 7103335240; 54380566300; 25226886200; 15042362900; 40762215900","On pixel-wise explanations for non-linear classifier decisions by layer-wise relevance propagation",2015,"PLoS ONE",10,"7", 0130140,,,,732,10.1371/journal.pone.0130140,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940560152&partnerID=40&md5=cd03ba897fd047569beb9329152a3d3b",Article,Final,Open Access,Scopus,2-s2.0-84940560152
"Oh, I.-S., Lee, J.-S., Moon, B.-R.","15119932900; 26661839400; 7101878601","Hybrid genetic algorithms for feature selection",2004,"IEEE Transactions on Pattern Analysis and Machine Intelligence",26,"11",,1424,1437,,620,10.1109/TPAMI.2004.105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-12844260916&partnerID=40&md5=52fa16ef3f3a763ed209bbfcd77c95a7",Article,Final,,Scopus,2-s2.0-12844260916
"Kwak, N.","7005248772","Principal component analysis based on L1-norm maximization",2008,"IEEE Transactions on Pattern Analysis and Machine Intelligence",30,"9",,1672,1680,,528,10.1109/TPAMI.2008.114,"https://www.scopus.com/inward/record.url?eid=2-s2.0-48049103479&partnerID=40&md5=ad6f8862083c9e44cad104c0ec50e4c9",Article,Final,,Scopus,2-s2.0-48049103479
"Shin, K.-S., Lee, T.S., Kim, H.-J.","56927436200; 7501433076; 57191718004","An application of support vector machines in bankruptcy prediction model",2005,"Expert Systems with Applications",28,"1",,127,135,,484,10.1016/j.eswa.2004.08.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-9244259665&partnerID=40&md5=198af5606e97ef54441fd1f9873ae9b7",Article,Final,,Scopus,2-s2.0-9244259665
"Bello-Orgaz, G., Jung, J.J., Camacho, D.","55315401400; 7402896966; 7003774102","Social big data: Recent achievements and new challenges",2016,"Information Fusion",28,"",,45,59,,427,10.1016/j.inffus.2015.08.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84943350772&partnerID=40&md5=6315a373c400d0533b4f5ba3ab88d1f0",Article,Final,,Scopus,2-s2.0-84943350772
"Chen, M., Mozaffari, M., Saad, W., Yin, C., Debbah, M., Hong, C.S.","57113807700; 57189034814; 57203259001; 7201995655; 35588784300; 56623778200","Caching in the Sky: Proactive Deployment of Cache-Enabled Unmanned Aerial Vehicles for Optimized Quality-of-Experience",2017,"IEEE Journal on Selected Areas in Communications",35,"5", 7875131,1046,1061,,394,10.1109/JSAC.2017.2680898,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019756493&partnerID=40&md5=d7fb66dbe7475b812e158637a14696a2",Article,Final,Open Access,Scopus,2-s2.0-85019756493
"Lee, K.Y., Cha, Y.T., Park, J.H.","56926965000; 7103222606; 35410050000","Short-term load forecasting using an artificial neural network",1992,"IEEE Transactions on Power Systems",7,"1",,124,132,,390,10.1109/59.141695,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0026821995&partnerID=40&md5=80c375ef344bbcbd4145e0e57541cd2b",Article,Final,,Scopus,2-s2.0-0026821995
"Suk, H.-I., Lee, S.-W., Shen, D.","56332955800; 7601390519; 7401738392","Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis",2014,"NeuroImage",101,"",,569,582,,372,10.1016/j.neuroimage.2014.06.077,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907019192&partnerID=40&md5=fee2970c6b7396dba2467f4880ccaef7",Article,Final,,Scopus,2-s2.0-84907019192
