Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Agnar, A., Plaza, E.","57189705626; 7004015031","Case-Based reasoning: Foundational issues, methodological variations, and system approaches",1994,"AI Communications",7,"1",,39,59,,4125,10.3233/AIC-1994-7104,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0028401306&partnerID=40&md5=3217d525585a61e3fc8ab673163ad14d",Article,Final,,Scopus,2-s2.0-0028401306
"Yang, J., Zhang, D., Frangi, A.F., Yang, J.-Y.","56999514900; 57195047946; 7005249248; 12773171100","Two-Dimensional PCA: A New Approach to Appearance-Based Face Representation and Recognition",2004,"IEEE Transactions on Pattern Analysis and Machine Intelligence",26,"1",,131,137,,2844,10.1109/TPAMI.2004.1261097,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0742268833&partnerID=40&md5=ff3de5dac703348d1f027e3330544144",Article,Final,,Scopus,2-s2.0-0742268833
"Derrac, J., García, S., Molina, D., Herrera, F.","35112975900; 37103985200; 22135567700; 7102347190","A practical tutorial on the use of nonparametric statistical tests as a methodology for comparing evolutionary and swarm intelligence algorithms",2011,"Swarm and Evolutionary Computation",1,"1",,3,18,,2313,10.1016/j.swevo.2011.02.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960535211&partnerID=40&md5=fcfbbdf82c2ae0c63115ddacb4a533b1",Article,Final,,Scopus,2-s2.0-79960535211
"Rodríguez, J.J., Kuncheva, L.I., Alonso, C.J.","57202195945; 7005496253; 6602354427","Rotation forest: A New classifier ensemble method",2006,"IEEE Transactions on Pattern Analysis and Machine Intelligence",28,"10",,1619,1630,,1255,10.1109/TPAMI.2006.211,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750095186&partnerID=40&md5=12f7d9c3832693739e8840355df0346f",Article,Final,,Scopus,2-s2.0-33750095186
"García, S., Fernández, A., Luengo, J., Herrera, F.","37103985200; 55071729400; 23392932900; 7102347190","Advanced nonparametric tests for multiple comparisons in the design of experiments in computational intelligence and data mining: Experimental analysis of power",2010,"Information Sciences",180,"10",,2044,2064,,1167,10.1016/j.ins.2009.12.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77549084648&partnerID=40&md5=23fef32e6916d0263b05a59908387a9e",Article,Final,,Scopus,2-s2.0-77549084648
"Herrera, F., Lozano, M., Verdegay, J.L.","7102347190; 35617161800; 7003965251","Tackling Real-Coded Genetic Algorithms: Operators and Tools for Behavioural Analysis",1998,"Artificial Intelligence Review",12,"4",,265,319,,886,10.1023/A:1006504901164,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032136585&partnerID=40&md5=61f6569e372ca74077a79dc3233de6b3",Article,Final,,Scopus,2-s2.0-0032136585
"Faratin, P., Sierra, C., Jennings, N.R.","6603539117; 7006398334; 7005888644","Negotiation decision functions for autonomous agents",1998,"Robotics and Autonomous Systems",24,"3-4",,159,182,,884,10.1016/S0921-8890(98)00029-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032156024&partnerID=40&md5=b7d57d4cc32642bc04b10d5b05ef26f4",Article,Final,,Scopus,2-s2.0-0032156024
"Al-Shahrour, F., Díaz-Uriarte, R., Dopazo, J.","6506782316; 6603594977; 18133480200","FatiGO: A web tool for finding significant associations of Gene Ontology terms with groups of genes",2004,"Bioinformatics",20,"4",,578,580,,835,10.1093/bioinformatics/btg455,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1542399989&partnerID=40&md5=c6ca5a1d0b523c65a6561bccbd62b9c4",Article,Final,Open Access,Scopus,2-s2.0-1542399989
"Yang, J., Frangi, A.F., Yang, J.-Y., Zhang, D., Jin, Z.","56999514900; 7005249248; 12773171100; 57195047946; 36915349100","KPCA plus LDA: A complete kernel fisher discriminant framework for feature extraction and recognition",2005,"IEEE Transactions on Pattern Analysis and Machine Intelligence",27,"2",,230,244,,745,10.1109/TPAMI.2005.33,"https://www.scopus.com/inward/record.url?eid=2-s2.0-14544297033&partnerID=40&md5=77dcf071a4e9a2641ffe9252613a2b9b",Article,Final,,Scopus,2-s2.0-14544297033
"Torra, V.","34881196600","The weighted OWA operator",1997,"International Journal of Intelligent Systems",12,"2",,153,166,,494,10.1002/(SICI)1098-111X(199702)12:2<153::AID-INT3>3.0.CO;2-P,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0031076775&partnerID=40&md5=7eb850719f1531b498c7cb420ec3b3d3",Article,Final,,Scopus,2-s2.0-0031076775
