Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Lin, C.-J.","57154890600","Projected gradient methods for nonnegative matrix factorization",2007,"Neural Computation",19,"10",,2756,2779,,1127,10.1162/neco.2007.19.10.2756,"https://www.scopus.com/inward/record.url?eid=2-s2.0-35548969471&partnerID=40&md5=7e2602f45f25e22d9c76e65b110e48ee",Article,Final,,Scopus,2-s2.0-35548969471
"Liao, S.-H.","7401923068","Expert system methodologies and applications-a decade review from 1995 to 2004",2005,"Expert Systems with Applications",28,"1",,93,103,,626,10.1016/j.eswa.2004.08.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-9244222193&partnerID=40&md5=a0bccef6e546d5a3f4563f901a90808f",Article,Final,,Scopus,2-s2.0-9244222193
"Huang, Z., Chen, H., Hsu, C.-J., Chen, W.-H., Wu, S.","7406221043; 8871373800; 36838897800; 7409637887; 55823315800","Credit rating analysis with support vector machines and neural networks: A market comparative study",2004,"Decision Support Systems",37,"4",,543,558,,616,10.1016/S0167-9236(03)00086-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-2442665617&partnerID=40&md5=ba663116653103d66ce1e6a0ed988967",Article,Final,,Scopus,2-s2.0-2442665617
"Wu, W.-W., Lee, Y.-T.","13006478900; 13006749100","Developing global managers' competencies using the fuzzy DEMATEL method",2007,"Expert Systems with Applications",32,"2",,499,507,,601,10.1016/j.eswa.2005.12.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33750430267&partnerID=40&md5=1e422d43314e63ec1f1926de8260a3ff",Article,Final,,Scopus,2-s2.0-33750430267
"McEliece, R.J., MacKay, D.J.C., Cheng, J.-F.","7004966981; 56264855700; 57201836027","Turbo decoding as an instance of Pearl's ""belief propagation"" algorithm",1998,"IEEE Journal on Selected Areas in Communications",16,"2",,140,152,,528,10.1109/49.661103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032001728&partnerID=40&md5=8e3bc991b46dc89aec09a288e422c3df",Article,Final,,Scopus,2-s2.0-0032001728
"Lin, Y.-P., Wang, C.-H., Jung, T.-P., Wu, T.-L., Jeng, S.-K., Duann, J.-R., Chen, J.-H.","16318996800; 24328937200; 7201389395; 22434038800; 26023218700; 6602471847; 13310081700","EEG-based emotion recognition in music listening",2010,"IEEE Transactions on Biomedical Engineering",57,"7", 5458075,1798,1806,,512,10.1109/TBME.2010.2048568,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77953784197&partnerID=40&md5=2e501c5e91e3de43146cc2bcb1b40c65",Article,Final,,Scopus,2-s2.0-77953784197
"Yu, C.-S., Lin, C.-J., Hwang, J.-K.","7404977599; 57154890600; 7403896779","Predicting subcellular localization of proteins for Gram-negative bacteria by support vector machines based on n-peptide compositions",2004,"Protein Science",13,"5",,1402,1406,,461,10.1110/ps.03479604,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1942505330&partnerID=40&md5=019a836ec84b1d63f02811de8cf81bfe",Article,Final,,Scopus,2-s2.0-1942505330
"Yeh, T.F., Lin, Y.J., Lin, H.C., Huang, C.C., Hsieh, W.S., Lin, C.H., Tsai, C.H.","35363275100; 57154930400; 7405573017; 56206542500; 7203083255; 56324723900; 57220951566","Outcomes at School Age after Postnatal Dexamethasone Therapy for Lung Disease of Prematurity",2004,"New England Journal of Medicine",350,"13",,1304,1313,,436,10.1056/NEJMoa032089,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1642290227&partnerID=40&md5=88179a9bfd28778d427b7ba8e6b933da",Article,Final,,Scopus,2-s2.0-1642290227
"Luo, R.C., Yih, C.-C., Su, K.L.","55842876400; 56212989300; 7101635786","Multisensor fusion and integration: Approaches, applications, and future research directions",2002,"IEEE Sensors Journal",2,"2",,107,119,,425,10.1109/JSEN.2002.1000251,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0142163128&partnerID=40&md5=1b82d2cafa03ffc7e45f3412e2a9b146",Article,Final,,Scopus,2-s2.0-0142163128
"Chen, S.-M., Ke, J.-S., Chang, J.-F.","56159136500; 7102915324; 56979443700","Knowledge Representation Using Fuzzy Petri Nets",1990,"IEEE Transactions on Knowledge and Data Engineering",2,"3",,311,319,,413,10.1109/69.60794,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025485332&partnerID=40&md5=a827dceef1b5ca7860f37fcc7e5f49a7",Article,Final,,Scopus,2-s2.0-0025485332
