Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Tao F., Qi Q., Liu A., Kusiak A.","Data-driven smart manufacturing",2018,375,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040599054&doi=10.1016%2fj.jmsy.2018.01.006&partnerID=40&md5=19bbdfe52aaa38a1df1be112bfc582f9","National Natural Science Foundation of China

Beijing Nova Program

National Basic Research Program of China (973 Program)","Final"
"Zhang K., Gao X., Tao D., Li X.","Single image super-resolution with non-local means and steering kernel regression",2012,362,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867853644&doi=10.1109%2fTIP.2012.2208977&partnerID=40&md5=cb9ba38da37f5574bde0b970599a1ef6","National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities","Final"
"Kristan M., Matas J., Leonardis A., Vojir T., Pflugfelder R., Fernandez G., Nebehay G., Porikli F., Cehovin L.","A Novel Performance Evaluation Methodology for Single-Target Trackers",2016,264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992034892&doi=10.1109%2fTPAMI.2016.2516982&partnerID=40&md5=bd55a8de6670f9697c3f88171c17ddf1","Seventh Framework Programme","Final"
"Ding C., Choi J., Tao D., Davis L.S.","Multi-Directional Multi-Level Dual-Cross Patterns for Robust Face Recognition",2016,243,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962053224&doi=10.1109%2fTPAMI.2015.2462338&partnerID=40&md5=66c775ea9f810a088c4b49c30158387a","National Science Foundation

Australian Research Council

China Scholarship Council","Final"
"Celebi M.E., Kingravi H.A., Iyatomi H., Aslandogan Y.A., Stoecker W.V., Moss R.H., Malters J.M., Grichnik J.M., Marghoob A.A., Rabinovitz H.S., Menzies S.W.","Border detection in dermoscopy images using statistical region merging",2008,241,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-48249158393&doi=10.1111%2fj.1600-0846.2008.00301.x&partnerID=40&md5=9ebf2b22c199237f8f124698540e2208","National Cancer Institute","Final"
"Li H., Gao H., Shi P.","New passivity analysis for neural networks with discrete and distributed delays",2010,181,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149362231&doi=10.1109%2fTNN.2010.2059039&partnerID=40&md5=5476264272f6a61596616a538dd0da65","Engineering and Physical Sciences Research Council

National Natural Science Foundation of China

National Key Research and Development Program of China","Final"
"Wu Z., Liu X., Ni Z., Yuan D., Yang Y.","A market-oriented hierarchical scheduling strategy in cloud workflow systems",2013,180,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872360361&doi=10.1007%2fs11227-011-0578-4&partnerID=40&md5=9fb0602bfb2d9fe91f42a1e7ec373587","Australian Research Council

National Natural Science Foundation of China","Final"
"Song Q., Liu F., Cao J., Yu W.","M-matrix strategies for pinning-controlled leader-following consensus in multiagent systems with nonlinear dynamics",2013,166,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890049700&doi=10.1109%2fTSMCB.2012.2227723&partnerID=40&md5=3a099e49bbfdb5927c484343fcd99905",,"Final"
"Ren F., Ward L., Williams T., Laws K.J., Wolverton C., Hattrick-Simpers J., Mehta A.","Accelerated discovery of metallic glasses through iteration of machine learning and high-throughput experiments",2018,164,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045767300&doi=10.1126%2fsciadv.aaq1566&partnerID=40&md5=a71a0be1b6d18d3e9f101ba103a4e873","National Science Foundation

U.S. Department of Energy

National Institute of Standards and Technology

U.S. Department of Commerce

Advanced Manufacturing Office

National Stroke Foundation","Final"
"Lucey P., Cohn J.F., Matthews I., Lucey S., Sridharan S., Howlett J., Prkachin K.M.","Automatically detecting pain in video through facial action units",2011,160,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957529700&doi=10.1109%2fTSMCB.2010.2082525&partnerID=40&md5=0c2896610225d8e8f689396d3e03bb8c","National Institute of Mental Health

Canadian Institutes of Health Research","Final"
"Gui J., Sun Z., Ji S., Tao D., Tan T.","Feature selection based on structured sparsity: a comprehensive study",2017,151,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964546292&doi=10.1109%2fTNNLS.2016.2551724&partnerID=40&md5=9cac52ee0dc0c29533136105320cf8fd","National Science Foundation

Shanghai Key Laboratory of Intelligent Information Processing

Australian Research Council

National Natural Science Foundation of China

Zhejiang University

National Laboratory of Pattern Recognition

State Key Laboratory of Computer Aided Design and Computer Graphics","Final"
"Zeng Z., Zheng W.X.","Multistability of neural networks with time-varying delays and concave-convex characteristics",2012,130,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867337265&doi=10.1109%2fTNNLS.2011.2179311&partnerID=40&md5=dea52810816df16340d936829401ef0c","Australian Research Council

National Natural Science Foundation of China

Fok Ying Tung Education Foundation

National Key Research and Development Program of China","Final"
"Chen W., Peng J., Hong H., Shahabi H., Pradhan B., Liu J., Zhu A.-X., Pei X., Duan Z.","Landslide susceptibility modelling using GIS-based machine learning techniques for Chongren County, Jiangxi Province, China",2018,129,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042195668&doi=10.1016%2fj.scitotenv.2018.01.124&partnerID=40&md5=89adc983766aabdddc38584eea661a78","University of Wisconsin-Madison

National Natural Science Foundation of China

Chinese Academy of Sciences

China Postdoctoral Science Foundation

Chengdu University of Technology

Education Department of Shaanxi Province

Shaanxi Province Postdoctoral Science Foundation

State Key Laboratory of Geohazard Prevention and Geoenvironment Protection

National Basic Research Program of China (973 Program)","Final"
"Li H., Yang D., Su W., Lu J., Yu X.","An Overall Distribution Particle Swarm Optimization MPPT Algorithm for Photovoltaic System under Partial Shading",2019,128,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046005793&doi=10.1109%2fTIE.2018.2829668&partnerID=40&md5=fcf2e89a01ac2bb7144e78c73a2837cf","National Natural Science Foundation of China

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities","Final"
"Wang P., Li W., Ogunbona P., Wan J., Escalera S.","RGB-D-based human motion recognition with deep learning: A survey",2018,121,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046660226&doi=10.1016%2fj.cviu.2018.04.007&partnerID=40&md5=768c54e63256d5243c19dcbb42dadfea","National Natural Science Foundation of China

Generalitat de Catalunya

Ministerio de Economía y Competitividad

European Regional Development Fund","Final"
"Geng B., Tao D., Xu C.","DAML: Domain adaptation metric learning",2011,120,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052880025&doi=10.1109%2fTIP.2011.2134107&partnerID=40&md5=4ee2fa9f1633530f300a4b591df7b56c","National Natural Science Foundation of China

National Key Research and Development Program of China","Final"
"Van Delden H., Seppelt R., White R., Jakeman A.J.","A methodology for the design and development of integrated models for policy support",2011,117,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649846894&doi=10.1016%2fj.envsoft.2010.03.021&partnerID=40&md5=d903760e13a69fd3b779c09dee3790ad","European Commission","Final"
"Bengtsson H., Irizarry R., Carvalho B., Speed T.P.","Estimation and assessment of raw copy numbers at the single locus level",2008,113,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-40749162839&doi=10.1093%2fbioinformatics%2fbtn016&partnerID=40&md5=69d0dc552d3c026883491ef2bc266c35","National Institute of General Medical Sciences

National Center for Research Resources

Wenner-Gren Foundation

American-Scandinavian Foundation","Final"
"Tang M., Yao X.","A memetic algorithm for VLSI floorplanning",2007,113,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847660505&doi=10.1109%2fTSMCB.2006.883268&partnerID=40&md5=f98bb3d613349daa4b3f9a0c43a0a3c9","National Natural Science Foundation of China","Final"
