Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Klein A., Andersson J., Ardekani B.A., Ashburner J., Avants B., Chiang M.-C., Christensen G.E., Collins D.L., Gee J., Hellier P., Song J.H., Jenkinson M., Lepage C., Rueckert D., Thompson P., Vercauteren T., Woods R.P., Mann J.J., Parsey R.V.","Evaluation of 14 nonlinear deformation algorithms applied to human brain MRI registration",2009,1442,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64949166881&doi=10.1016%2fj.neuroimage.2008.12.037&partnerID=40&md5=ef7d03d5dcdb1cb22553384824fd6fae","National Institutes of Health

National Institute of Mental Health

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering

Wellcome Trust

Biotechnology and Biological Sciences Research Council","Final"
"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,1354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955623505&doi=10.1126%2fscience.1184984&partnerID=40&md5=ec88be350308611ca1a70311c004f35c","National Science Foundation

Seventh Framework Programme

Natural Environment Research Council","Final"
"Ben-David S., Blitzer J., Crammer K., Kulesza A., Pereira F., Vaughan J.W.","A theory of learning from different domains",2010,754,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897573740&doi=10.1007%2fs10994-009-5152-4&partnerID=40&md5=6d61e5e0904422eb0ff4783d0810aaee","National Science Foundation

Defense Advanced Research Projects Agency

University of Pennsylvania","Final"
"Hinton G.E.","Connectionist learning procedures",1989,705,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024732792&doi=10.1016%2f0004-3702%2889%2990049-0&partnerID=40&md5=a6b0e786977ebe9b4f6334771fb43559","National Science Foundation

Office of Naval Research","Final"
"Xiong H.Y., Alipanahi B., Lee L.J., Bretschneider H., Merico D., Yuen R.K.C., Hua Y., Gueroussov S., Najafabadi H.S., Hughes T.R., Morris Q., Barash Y., Krainer A.R., Jojic N., Scherer S.W., Blencowe B.J., Frey B.J.","The human splicing code reveals new insights into the genetic determinants of disease",2015,577,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923276179&doi=10.1126%2fscience.1254806&partnerID=40&md5=f05da4402a721411715527ccbdc03659","National Cancer Institute

National Institute of General Medical Sciences","Final"
"Wang J.M., Fleet D.J., Hertzmann A.","Gaussian process dynamical models for human motion",2008,559,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37549055132&doi=10.1109%2fTPAMI.2007.1167&partnerID=40&md5=3e9a51ad4f34eb46d2c0b40740519eef","National Science Foundation

Alfred P. Sloan Foundation

Microsoft Research

Natural Sciences and Engineering Research Council of Canada

Ontario Ministry of Research, Innovation and Science","Final"
"Torralba A., Murphy K.P., Freeman W.T.","Sharing visual features for multiclass and multiview object detection",2007,495,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047200109&doi=10.1109%2fTPAMI.2007.1055&partnerID=40&md5=2b88846aa0d3b65422604c474e96832d","National Science Foundation

Defense Advanced Research Projects Agency

National Geospatial-Intelligence Agency

John D. and Catherine T. MacArthur Foundation

Massachusetts Institute of Technology

Nippon Telegraph and Telephone","Final"
"Ge Z., Song Z., Ding S.X., Huang B.","Data Mining and Analytics in the Process Industry: The Role of Machine Learning",2017,374,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030772750&doi=10.1109%2fACCESS.2017.2756872&partnerID=40&md5=bccaef13df9476d05a03e9cc8ec8cf15","Alexander von Humboldt-Stiftung

National Natural Science Foundation of China","Final"
"Mili H., Mili F., Mili A.","Reusing Software: Issues and Research Directions",1995,366,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029325224&doi=10.1109%2f32.391379&partnerID=40&md5=0f27030bba664cf7de9b69c2174bfd41","Fonds pour la Formation de Chercheurs et l'Aide à la Recherche

Ministry of Higher Education, Malaysia

Natural Sciences and Engineering Research Council of Canada

National Science Foundation

Oakland University

Natural Sciences and Engineering Research Council of Canada","Final"
"Torresani L., Hertzmann A., Bregler C.","Nonrigid structure-from-motion: Estimating shape and motion with hierarchical priors",2008,339,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-41749120316&doi=10.1109%2fTPAMI.2007.70752&partnerID=40&md5=2e0a1388b4fc12d5690b53d26a6fef24","National Science Foundation

Office of Naval Research

Alfred P. Sloan Foundation

Microsoft Research

Natural Sciences and Engineering Research Council of Canada

Canada Foundation for Innovation

Ontario Ministry of Research, Innovation and Science","Final"
