Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Yang J., Zhang D., Frangi A.F., Yang J.-Y.","Two-Dimensional PCA: A New Approach to Appearance-Based Face Representation and Recognition",2004,2844,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0742268833&doi=10.1109%2fTPAMI.2004.1261097&partnerID=40&md5=79310090621ea2b053ae3c0b518f20c4","National Natural Science Foundation of China

Hong Kong Polytechnic University

Ministerio de Ciencia y Tecnología

Universidad de Zaragoza","Final"
"Chen S., Zhang D.","Robust image segmentation using FCM with spatial constraints based on new kernel-induced distance measure",2004,883,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543098627&doi=10.1109%2fTSMCB.2004.831165&partnerID=40&md5=e2e076b230ae901f1516eab2830ce5b3","National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province","Final"
"Cao Y.U., Fukunaga A.S., Kahng A.B.","Cooperative Mobile Robotics: Antecedents and Directions",1997,871,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030674885&doi=10.1023%2fA%3a1008855018923&partnerID=40&md5=3b736a1e0661f54cc838a0bf28035e06","National Science Foundation

University of California, Los Angeles","Final"
"Jia F., Lei Y., Lin J., Zhou X., Lu N.","Deep neural networks: A promising tool for fault characteristic mining and intelligent diagnosis of rotating machinery with massive data",2016,841,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955693855&doi=10.1016%2fj.ymssp.2015.10.025&partnerID=40&md5=611c29b1a5a692a85c438bd62380fa2d","National Natural Science Foundation of China

Natural Science Foundation of Shaanxi Provincial Department of Education

Fundamental Research Funds for the Central Universities","Final"
"Chen J., Shan S., He C., Zhao G., Pietikainen M., Chen X., Gao W.","WLD: A robust local image descriptor",2010,810,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955415299&doi=10.1109%2fTPAMI.2009.155&partnerID=40&md5=0a8d13043878d54629706783b7a6146e","National Natural Science Foundation of China

Academy of Finland

National Basic Research Program of China (973 Program)","Final"
"Kermany D.S., Goldbaum M., Cai W., Valentim C.C.S., Liang H., Baxter S.L., McKeown A., Yang G., Wu X., Yan F., Dong J., Prasadha M.K., Pei J., Ting M., Zhu J., Li C., Hewett S., Dong J., Ziyar I., Shi A., Zhang R., Zheng L., Hou R., Shi W., Fu X., Duan Y., Huu V.A.N., Wen C., Zhang E.D., Zhang C.L., Li O., Wang X., Singer M.A., Sun X., Xu J., Tafreshi A., Lewis M.A., Xia H., Zhang K.","Identifying Medical Diagnoses and Treatable Diseases by Image-Based Deep Learning",2018,799,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042389905&doi=10.1016%2fj.cell.2018.02.010&partnerID=40&md5=e83d2ef0a11cfa54b6663a859ef708fe","National Natural Science Foundation of China

National Key Research and Development Program of China

Guangzhou Regenerative Medicine and Health Guangdong Laboratory","Final"
"Cheng G., Zhou P., Han J.","Learning Rotation-Invariant Convolutional Neural Networks for Object Detection in VHR Optical Remote Sensing Images",2016,760,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027047340&doi=10.1109%2fTGRS.2016.2601622&partnerID=40&md5=49cf775b38f8074e002425dd83fb8e94","National Natural Science Foundation of China

National Aerospace Science Foundation of China

Fundamental Research Funds for the Central Universities","Final"
"Ma L., Tan T., Wang Y., Zhang D.","Efficient iris recognition by characterizing key local variations",2004,746,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942628075&doi=10.1109%2fTIP.2004.827237&partnerID=40&md5=94bedb57f0c4f1317a06cbfbb5c85caf","National Natural Science Foundation of China

Chinese Academy of Sciences","Final"
"Yang J., Frangi A.F., Yang J.-Y., Zhang D., Jin Z.","KPCA plus LDA: A complete kernel fisher discriminant framework for feature extraction and recognition",2005,745,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-14544297033&doi=10.1109%2fTPAMI.2005.33&partnerID=40&md5=d9cbbbf2564ff689c82dbdf8c8357a5d","U.S. Department of Defense

Defense Advanced Research Projects Agency

National Natural Science Foundation of China

Hong Kong Polytechnic University

Instituto de Salud Carlos III

Ministerio de Ciencia y Tecnología","Final"
"Ye Q.-H., Qin L.-X., Forgues M., He P., Kim J.W., Peng A.C., Simon R., Li Y., Robles A.I., Chen Y., Ma Z.-C., Wu Z.-Q., Ye S.-L., Liu Y.-K., Tang Z.-Y., Wang X.W.","Predicting hepatitis B virus-positive metastatic hepatocellular carcinomas using gene expression profiling and supervised machine learning",2003,671,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037391756&doi=10.1038%2fnm843&partnerID=40&md5=855582a1ce11b201817caae5db73ccf5","National Cancer Institute

Ministry of Education of the People's Republic of China

Major State Basic Research Development Program of China","Final"
"He Q., Wang L.","An effective co-evolutionary particle swarm optimization for constrained engineering design problems",2007,618,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750625354&doi=10.1016%2fj.engappai.2006.03.003&partnerID=40&md5=f23d778d668c4f14bbfb57bf8e22bab6","National Natural Science Foundation of China

National Key Research and Development Program of China","Final"
