Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Fischl B., Van Der Kouwe A., Destrieux C., Halgren E., Ségonne F., Salat D.H., Busa E., Seidman L.J., Goldstein J., Kennedy D., Caviness V., Makris N., Rosen B., Dale A.M.","Automatically Parcellating the Human Cerebral Cortex",2004,2534,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-9144254529&doi=10.1093%2fcercor%2fbhg087&partnerID=40&md5=2ef5ad1cf23d046af5cf800420cbb887","National Institute of Mental Health

National Eye Institute

National Cancer Institute

National Institute of Neurological Disorders and Stroke

National Center for Research Resources

Amyotrophic Lateral Sclerosis Association

National Alliance for Research on Schizophrenia and Depression","Final"
"Klein A., Andersson J., Ardekani B.A., Ashburner J., Avants B., Chiang M.-C., Christensen G.E., Collins D.L., Gee J., Hellier P., Song J.H., Jenkinson M., Lepage C., Rueckert D., Thompson P., Vercauteren T., Woods R.P., Mann J.J., Parsey R.V.","Evaluation of 14 nonlinear deformation algorithms applied to human brain MRI registration",2009,1442,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64949166881&doi=10.1016%2fj.neuroimage.2008.12.037&partnerID=40&md5=ef7d03d5dcdb1cb22553384824fd6fae","National Institutes of Health

National Institute of Mental Health

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering

Wellcome Trust

Biotechnology and Biological Sciences Research Council","Final"
"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,1354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955623505&doi=10.1126%2fscience.1184984&partnerID=40&md5=ec88be350308611ca1a70311c004f35c","National Science Foundation

Seventh Framework Programme

Natural Environment Research Council","Final"
"Jung M., Reichstein M., Ciais P., Seneviratne S.I., Sheffield J., Goulden M.L., Bonan G., Cescatti A., Chen J., De Jeu R., Dolman A.J., Eugster W., Gerten D., Gianelle D., Gobron N., Heinke J., Kimball J., Law B.E., Montagnani L., Mu Q., Mueller B., Oleson K., Papale D., Richardson A.D., Roupsard O., Running S., Tomelleri E., Viovy N., Weber U., Williams C., Wood E., Zaehle S., Zhang K.","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,1160,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049234152&doi=10.1038%2fnature09396&partnerID=40&md5=187bcbd15d7579086488eb3cf2e145ad","National Science Foundation

Biological and Environmental Research

Université Laval

Seventh Framework Programme

BIOCAP Canada

Università degli Studi della Tuscia

Natural Sciences and Engineering Research Council of Canada

Environment Canada

Natural Resources Canada

Canadian Foundation for Climate and Atmospheric Sciences

European Commission

Seventh Framework Programme

Sixth Framework Programme

Max Planck Institute for Nuclear Physics","Final"
"Le Pennec E., Mallat S.","Sparse geometric image representations with bandelets",2005,740,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17544369568&doi=10.1109%2fTIP.2005.843753&partnerID=40&md5=44cdd37bb94763a14826530c8aa86420","National Science Foundation","Final"
"Ségonne F., Pacheco J., Fischl B.","Geometrically accurate topology-correction of cortical surfaces using nonseparating loops",2007,594,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047139895&doi=10.1109%2fTMI.2006.887364&partnerID=40&md5=0b15750b49f9933a1002a44341cbea7f","National Institutes of Health

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering

National Center for Research Resources","Final"
"Agarwal A., Triggs B.","Recovering 3D human pose from monocular images",2006,548,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644830736&doi=10.1109%2fTPAMI.2006.21&partnerID=40&md5=c3fa54b849e46b4fed23dc550e0f5744","European Commission","Final"
"Chen M., Mozaffari M., Saad W., Yin C., Debbah M., Hong C.S.","Caching in the Sky: Proactive Deployment of Cache-Enabled Unmanned Aerial Vehicles for Optimized Quality-of-Experience",2017,394,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019756493&doi=10.1109%2fJSAC.2017.2680898&partnerID=40&md5=3473fecbeed69a29cf5d159a3678eaf6","National Science Foundation

Seventh Framework Programme","Final"
"Cully A., Clune J., Tarapore D., Mouret J.-B.","Robots that can adapt like animals",2015,359,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930637712&doi=10.1038%2fnature14422&partnerID=40&md5=b9b46dd63aa9f1f359e89d2088e22b82","Horizon 2020 Framework Programme

European Research Council

Direction Générale de l’Armement","Final"
"Caminada M., Amgoud L.","On the evaluation of argumentation formalisms",2007,327,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147136754&doi=10.1016%2fj.artint.2007.02.003&partnerID=40&md5=3cbafc1efd7f31329f6812398fad5585","European Commission","Final"
"Sameni R., Shamsollahi M.B., Jutten C., Clifford G.D.","A nonlinear Bayesian filtering framework for ECG denoising",2007,322,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36348946459&doi=10.1109%2fTBME.2007.897817&partnerID=40&md5=5cd95ba4ad40a72c0b3a96e546c20065","National Institute of Biomedical Imaging and Bioengineering

Iran Telecommunication Research Center","Final"
"Furman D., Hejblum B.P., Simon N., Jojic V., Dekker C.L., Thiebaut R., Tibshirani R.J., Davis M.M.","Systems analysis of sex differences reveals an immunosuppressive role for testosterone in the response to influenza vaccination",2014,297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892562675&doi=10.1073%2fpnas.1321060111&partnerID=40&md5=7eeff763db8f228b704cab5fe2050a17","National Institute of Allergy and Infectious Diseases

National Center for Research Resources","Final"
"Elmoataz A., Lezoray O., Bougleux S.","Nonlocal discrete regularization on weighted graphs: A framework for image and manifold processing",2008,289,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45949105032&doi=10.1109%2fTIP.2008.924284&partnerID=40&md5=c7d3653e3dc87c2399d33e4e71f328ba","European Regional Development Fund","Final"
"Anglicheau D., Sharma V.K., Ding R., Hummel A., Snopkowski C., Dadhania D., Seshan S.V., Suthanthiran M.","MicroRNA expression profiles predictive of human renal allograft status",2009,259,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249122551&doi=10.1073%2fpnas.0813121106&partnerID=40&md5=34d6cce913afecc8864eb28b905ca6c3","National Institute of Allergy and Infectious Diseases","Final"
"Gray K.R., Aljabar P., Heckemann R.A., Hammers A., Rueckert D.","Random forest-based similarity measures for multi-modal classification of Alzheimer's disease",2013,254,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868215748&doi=10.1016%2fj.neuroimage.2012.09.065&partnerID=40&md5=75d22ac1e108b007e22f896d13056b07","National Institutes of Health

U.S. Food and Drug Administration

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

Alzheimer's Association

Dana Foundation

Abbott Laboratories

Bristol-Myers Squibb

Alzheimer's Drug Discovery Foundation

Eli Lilly and Company

AstraZeneca

Genentech

GlaxoSmithKline

Johnson and Johnson

Merck

Novartis

GE Healthcare

F. Hoffmann-La Roche

Schering-Plough

Synarc

Alzheimer's Disease Neuroimaging Initiative

Medical Research Council

Dunhill Medical Trust

Elan

Innogenetics

Bayer Schering","Final"
