Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,1354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955623505&doi=10.1126%2fscience.1184984&partnerID=40&md5=ec88be350308611ca1a70311c004f35c","National Science Foundation

Seventh Framework Programme

Natural Environment Research Council","Final"
"Thrun S., Fox D., Burgard W., Dellaert F.","Robust Monte Carlo localization for mobile robots",2001,1330,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035336711&doi=10.1016%2fS0004-3702%2801%2900069-8&partnerID=40&md5=d73bd6365377cffa6c9f52acfcac2872","National Science Foundation","Final"
"Jung M., Reichstein M., Ciais P., Seneviratne S.I., Sheffield J., Goulden M.L., Bonan G., Cescatti A., Chen J., De Jeu R., Dolman A.J., Eugster W., Gerten D., Gianelle D., Gobron N., Heinke J., Kimball J., Law B.E., Montagnani L., Mu Q., Mueller B., Oleson K., Papale D., Richardson A.D., Roupsard O., Running S., Tomelleri E., Viovy N., Weber U., Williams C., Wood E., Zaehle S., Zhang K.","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,1160,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049234152&doi=10.1038%2fnature09396&partnerID=40&md5=187bcbd15d7579086488eb3cf2e145ad","National Science Foundation

Biological and Environmental Research

Université Laval

Seventh Framework Programme

BIOCAP Canada

Università degli Studi della Tuscia

Natural Sciences and Engineering Research Council of Canada

Environment Canada

Natural Resources Canada

Canadian Foundation for Climate and Atmospheric Sciences

European Commission

Seventh Framework Programme

Sixth Framework Programme

Max Planck Institute for Nuclear Physics","Final"
"Kermany D.S., Goldbaum M., Cai W., Valentim C.C.S., Liang H., Baxter S.L., McKeown A., Yang G., Wu X., Yan F., Dong J., Prasadha M.K., Pei J., Ting M., Zhu J., Li C., Hewett S., Dong J., Ziyar I., Shi A., Zhang R., Zheng L., Hou R., Shi W., Fu X., Duan Y., Huu V.A.N., Wen C., Zhang E.D., Zhang C.L., Li O., Wang X., Singer M.A., Sun X., Xu J., Tafreshi A., Lewis M.A., Xia H., Zhang K.","Identifying Medical Diagnoses and Treatable Diseases by Image-Based Deep Learning",2018,799,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042389905&doi=10.1016%2fj.cell.2018.02.010&partnerID=40&md5=e83d2ef0a11cfa54b6663a859ef708fe","National Natural Science Foundation of China

National Key Research and Development Program of China

Guangzhou Regenerative Medicine and Health Guangdong Laboratory","Final"
"Yu W., Chen G., Cao M., Kurths J.","Second-Order consensus for multiagent systems with directed topologies and nonlinear dynamics",2010,778,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952581942&doi=10.1109%2fTSMCB.2009.2031624&partnerID=40&md5=61b314a123f5588f567922d00f332fbc","Deutscher Akademischer Austauschdienst

Deutsche Forschungsgemeinschaft

National Natural Science Foundation of China","Final"
"Kim J., André E.","Emotion recognition based on physiological changes in music listening",2008,629,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649124649&doi=10.1109%2fTPAMI.2008.26&partnerID=40&md5=d60d8bbbbc4c489e81d996518424fd33","National Science Foundation

European Commission","Final"
"Chang F., Dell G.S., Bock K.","Becoming syntactic",2006,563,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744529877&doi=10.1037%2f0033-295X.113.2.234&partnerID=40&md5=a7b2648ddf0964a8350d8910e356e243","Eunice Kennedy Shriver National Institute of Child Health and Human Development","Final"
"Lei Y., Jia F., Lin J., Xing S., Ding S.X.","An Intelligent Fault Diagnosis Method Using Unsupervised Feature Learning Towards Mechanical Big Data",2016,542,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963934455&doi=10.1109%2fTIE.2016.2519325&partnerID=40&md5=2f397a1427e9a6108268a9db05d0cf3f","National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities","Final"
"Farina D., Jiang N., Rehbaum H., Holobar A., Graimann B., Dietl H., Aszmann O.C.","The extraction of neural information from the surface EMG for the control of upper-limb prostheses: Emerging avenues and challenges",2014,425,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904283386&doi=10.1109%2fTNSRE.2014.2305111&partnerID=40&md5=962cec4eef53b900d02c063d683e9d79","Seventh Framework Programme","Final"
"Lemm S., Blankertz B., Dickhaus T., Müller K.-R.","Introduction to machine learning for brain imaging",2011,400,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954990666&doi=10.1016%2fj.neuroimage.2010.11.004&partnerID=40&md5=b020426246700a0cb8579e28306ce87d","European Commission

Deutsche Forschungsgemeinschaft

Bundesministerium für Bildung und Forschung","Final"
"Leslie C.S., Eskin E., Cohen A., Weston J., Noble W.S.","Mismatch string kernels for discriminative protein classification",2004,398,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542714925&doi=10.1093%2fbioinformatics%2fbtg431&partnerID=40&md5=97d84d7b328af4b8342921c99d1021cc","National Science Foundation

National Institutes of Health

U.S. National Library of Medicine

Alfred P. Sloan Foundation

Pharmaceutical Research and Manufacturers of America Foundation","Final"
"Ge Z., Song Z., Ding S.X., Huang B.","Data Mining and Analytics in the Process Industry: The Role of Machine Learning",2017,374,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030772750&doi=10.1109%2fACCESS.2017.2756872&partnerID=40&md5=bccaef13df9476d05a03e9cc8ec8cf15","Alexander von Humboldt-Stiftung

National Natural Science Foundation of China","Final"
"Ben-Hur A., Ong C.S., Sonnenburg S., Schölkopf B., Rätsch G.","Support vector machines and kernels for computational biology",2008,373,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55449125185&doi=10.1371%2fjournal.pcbi.1000173&partnerID=40&md5=4169d44ada6eb616cb29ad9f5b736fea","National Science Foundation","Final"
"Knijnenburg B.P., Willemsen M.C., Gantner Z., Soncu H., Newell C.","Explaining the user experience of recommender systems",2012,371,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866024894&doi=10.1007%2fs11257-011-9118-4&partnerID=40&md5=630981b0fc045565b7f6c4b9bc0f379d","Seventh Framework Programme","Final"
"Lal T.N., Schröder M., Hinterberger T., Weston J., Bogdan M., Birbaumer N., Schölkopf B.","Support vector channel selection in BCI",2004,362,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442670435&doi=10.1109%2fTBME.2004.827827&partnerID=40&md5=1826dbeb6cc75472737a4f202fd0112b","Deutsche Forschungsgemeinschaft

National Institutes of Health","Final"
"Friman O., Volosyak I., Gräser A.","Multiple channel detection of steady-state visual evoked potentials for brain-computer interfaces",2007,358,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947515477&doi=10.1109%2fTBME.2006.889160&partnerID=40&md5=db515bf8ded16876cbfad5262dce79ab","Sixth Framework Programme","Final"
"Pillonetto G., Dinuzzo F., Chen T., De Nicolao G., Ljung L.","Kernel methods in system identification, machine learning and function estimation: A survey",2014,350,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895926571&doi=10.1016%2fj.automatica.2014.01.001&partnerID=40&md5=0299b9acfac768d7d717fd3616c754bc","Seventh Framework Programme","Final"
"Hansen K., Biegler F., Ramakrishnan R., Pronobis W., Von Lilienfeld O.A., Müller K.-R., Tkatchenko A.","Machine learning predictions of molecular properties: Accurate many-body potentials and nonlocality in chemical space",2015,313,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935014439&doi=10.1021%2facs.jpclett.5b00831&partnerID=40&md5=89b6dd392c4de4480a9036236608a077","Seventh Framework Programme

Schweizerischer Nationalfonds zur F&#x00F6;rderung der Wissenschaftlichen Forschung","Final"
"Koutsouleris N., Meisenzahl E.M., Davatzikos C., Bottlender R., Frodl T., Scheuerecker J., Schmitt G., Zetzsche T., Decker P., Reiser M., Möller H.-J., Gaser C.","Use of neuroanatomical pattern classification to identify subjects in at-risk mental states of psychosis and predict disease transition",2009,308,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650457029&doi=10.1001%2farchgenpsychiatry.2009.62&partnerID=40&md5=9d8990999c769bfaa0286f65e7ab101d","National Institute on Aging","Final"
"Lu J., Ho D.W.C., Cao J., Kurths J.","Exponential synchronization of linearly coupled neural networks with impulsive disturbances",2011,287,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951674026&doi=10.1109%2fTNN.2010.2101081&partnerID=40&md5=a6f51b75139a5b5b9ccf0fae42e74cd1","Alexander von Humboldt-Stiftung

City University of Hong Kong

National Natural Science Foundation of China

Gottfried Wilhelm Leibniz Universität Hannover

Natural Science Foundation of Jiangsu Province

Specialized Research Fund for the Doctoral Program of Higher Education of China","Final"
"Schütt K.T., Sauceda H.E., Kindermans P.-J., Tkatchenko A., Müller K.-R.","SchNet - A deep learning architecture for molecules and materials",2018,284,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044731105&doi=10.1063%2f1.5019779&partnerID=40&md5=6aa902452c61b655ff4128c385980c86","California Department of Fish and Game

Horizon 2020 Framework Programme

Banting and Best Diabetes Centre, University of Toronto

European Research Council

Deutsche Forschungsgemeinschaft

Bundesministerium für Bildung und Forschung

Institute for Information and Communications Technology Promotion","Final"
"Chmiela S., Tkatchenko A., Sauceda H.E., Poltavsky I., Schütt K.T., Müller K.-R.","Machine learning of accurate energy-conserving molecular force fields",2017,282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041381183&doi=10.1126%2fsciadv.1603015&partnerID=40&md5=1208931568fc6c2799460221ab23ed3c","Horizon 2020 Framework Programme","Final"
