Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Varma M., Zisserman A.","A statistical approach to material classification using image patch exemplars",2009,479,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349850950&doi=10.1109%2fTPAMI.2008.182&partnerID=40&md5=29d0ce3bd2e80667951b935c33f83d88","University of Oxford

European Commission","Final"
"Yang A.Y., Zhou Z., Balasubramanian A.G., Sastry S.S., Ma Y.","Fast ℓ1-minimization algorithms for robust face recognition",2013,247,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879044578&doi=10.1109%2fTIP.2013.2262292&partnerID=40&md5=3319009ec16ee1a8836f54019bd2ca45",,"Final"
"Kumar A., Zhang D.","Personal recognition using hand shape and texture",2006,216,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746265519&doi=10.1109%2fTIP.2006.875214&partnerID=40&md5=c3a66a94bac3254c5238cd775d8db57c","National Natural Science Foundation of China

Hong Kong Polytechnic University","Final"
"Samuel O.W., Asogbon G.M., Sangaiah A.K., Fang P., Li G.","An integrated decision support system based on ANN and Fuzzy_AHP for heart failure risk prediction",2017,158,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992502879&doi=10.1016%2fj.eswa.2016.10.020&partnerID=40&md5=3bb8483fbbcc2cb7929044e676010128","National Natural Science Foundation of China

Chinese Academy of Sciences

National High-tech Research and Development Program

National Key Research and Development Program of China

Shenzhen Peacock Plan

Natural Science Foundation of Guangdong Province for Distinguished Young Scholars","Final"
"Dou J., Yunus A.P., Tien Bui D., Merghadi A., Sahana M., Zhu Z., Chen C.-W., Khosravi K., Yang Y., Pham B.T.","Assessment of advanced random forest and decision tree algorithms for modeling rainfall-induced landslide susceptibility in the Izu-Oshima Volcanic Island, Japan",2019,123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060476790&doi=10.1016%2fj.scitotenv.2019.01.221&partnerID=40&md5=38a323d65b53a180e90be6492ca9f123","National Natural Science Foundation of China","Final"
"Mitchell T., Cohen W., Hruschka E., Talukdar P., Yang B., Betteridge J., Carlson A., Dalvi B., Gardner M., Kisiel B., Krishnamurthy J., Lao N., Mazaitis K., Mohamed T., Nakashole N., Platanios E., Ritter A., Samadi M., Settles B., Wang R., Wijaya D., Gupta A., Chen X., Saparov A., Greaves M., Welling J.","Never-ending learning",2018,120,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046532533&doi=10.1145%2f3191513&partnerID=40&md5=f8864079300fde327be3c04fee409337","National Science Foundation

Air Force Office of Scientific Research

Defense Advanced Research Projects Agency

Microsoft

Google

Fulbright Association

Fundação de Amparo à Pesquisa do Estado de São Paulo

Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","Final"
"Wang G.-G., Deb S., Gandomi A.H., Alavi A.H.","Opposition-based krill herd algorithm with Cauchy mutation and position clamping",2016,97,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959313257&doi=10.1016%2fj.neucom.2015.11.018&partnerID=40&md5=e302bf6e0cd4d58daf93c4bae6dc89c6","National Natural Science Foundation of China","Final"
"Zhu F., Bosch M., Khanna N., Boushey C.J., Delp E.J.","Multiple hypotheses image segmentation and classification with application to dietary assessment",2015,94,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920885244&doi=10.1109%2fJBHI.2014.2304925&partnerID=40&md5=10e7c5149c4b24b939ee1aa890f24fcb","National Cancer Institute

National Institute of Diabetes and Digestive and Kidney Diseases","Final"
"Yousefi S., Narui H., Dayal S., Ermon S., Valaee S.","A Survey on Behavior Recognition Using WiFi Channel State Information",2017,91,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036454840&doi=10.1109%2fMCOM.2017.1700082&partnerID=40&md5=cfe0e4c6b31a29e0fcfe3d8666e810cb","Fonds Québécois de la Recherche sur la Nature et les Technologies

Fonds Québécois de la Recherche sur la Nature et les Technologies

Fonds de recherche du Québec – Nature et technologies

National Science Foundation","Final"
"Lumelsky V.J., Harinarayan K.R.","Decentralized Motion Planning for Multiple Mobile Robots: The Cocktail Party Model",1997,90,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030713716&doi=10.1023%2fA%3a1008815304810&partnerID=40&md5=28e7f1b1e89daa057a2b388174fe53aa","National Science Foundation","Final"
"Hu Z.Z., Narayanaswamy M., Ravikumar K.E., Vijay-Shanker K., Wu C.H.","Literature mining and database annotation of protein phosphorylation using a rule-based system",2005,69,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20744446607&doi=10.1093%2fbioinformatics%2fbti390&partnerID=40&md5=77a95c5b2ead6ca743cf0a0f5f8cec95","National Institutes of Health

National Human Genome Research Institute

Council of Scientific and Industrial Research, India","Final"
"Swaminathan S., Pasipanodya J.G., Ramachandran G., Kumar A.K.H., Srivastava S., Deshpande D., Nuermberger E., Gumbo T.","Drug Concentration Thresholds Predictive of Therapy Failure and Death in Children with Tuberculosis: Bread Crumb Trails in Random Forests",2016,67,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994571281&doi=10.1093%2fcid%2fciw471&partnerID=40&md5=420bf93973b1fa9b08be9cf8b9025396","National Institutes of Health

National Institute of Allergy and Infectious Diseases

Indian Council of Medical Research","Final"
"Chen X., Kar S., Ralescu D.A.","Cross-entropy measure of uncertain variables",2012,67,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860311821&doi=10.1016%2fj.ins.2012.02.049&partnerID=40&md5=82d8c0b67d090754d975d1894b4317b5","National Natural Science Foundation of China","Final"
"Mozaffari-Kermani M., Sur-Kolay S., Raghunathan A., Jha N.K.","Systematic poisoning attacks on and defenses for machine learning in healthcare",2015,64,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959182554&doi=10.1109%2fJBHI.2014.2344095&partnerID=40&md5=85ee9188dd18277e4fbe652ddf9daac2","National Science Foundation","Final"
"Zhang H., Xiao X., Mercaldo F., Ni S., Martinelli F., Sangaiah A.K.","Classification of ransomware families with machine learning based on N-gram of opcodes",2019,56,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051027281&doi=10.1016%2fj.future.2018.07.052&partnerID=40&md5=5194ac3d48041f080be8ad51b19ee781","National Natural Science Foundation of China

Natural Science Foundation of Guangdong Province","Final"
"Ansari M.Z., Sharma J., Gokhale R.S., Mohanty D.","In silico analysis of methyltransferase domains involved in biosynthesis of secondary metabolites",2008,56,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149287683&doi=10.1186%2f1471-2105-9-454&partnerID=40&md5=d32d2550367e588bef4f594b0d8280cc","Seventh Framework Programme","Final"
"Liu G., Liu S., Muhammad K., Sangaiah A.K., Doctor F.","Object Tracking in Vary Lighting Conditions for Fog Based Intelligent Surveillance of Public Spaces",2018,55,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046742086&doi=10.1109%2fACCESS.2018.2834916&partnerID=40&md5=281a9c7286a886af37c1153a04e2cbf8","National Natural Science Foundation of China

Research Program of Science and Technology at Universities of Inner Mongolia Autonomous Region","Final"
"Das B., Krishnan N.C., Cook D.J.","RACOG and wRACOG: Two probabilistic oversampling techniques",2015,51,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916918673&doi=10.1109%2fTKDE.2014.2324567&partnerID=40&md5=9f3ddea85777f124955e976ba15bb4f5","National Science Foundation","Final"
"Zeng D., Dai Y., Li F., Wang J., Sangaiah A.K.","Aspect based sentiment analysis by a linguistically regularized CNN with gated mechanism",2019,50,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065845949&doi=10.3233%2fJIFS-169958&partnerID=40&md5=7268f5e3532d4ee070da9c3c514ebb56","National Natural Science Foundation of China

Hunan Provincial Science and Technology Department

National Laboratory of Pattern Recognition","Final"
"Shehory O., Sycara K., Chalasani P., Jha S.","Agent cloning: An approach to agent mobility and resource allocation",1998,47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032123179&doi=10.1109%2f35.689632&partnerID=40&md5=4c03982d9715fcda1855fc4d24f534eb","National Science Foundation","Final"
"Qiu T., Wang H., Li K., Ning H., Sangaiah A.K., Chen B.","SIGMM: A Novel Machine Learning Algorithm for Spammer Identification in Industrial Mobile Cloud Computing",2019,44,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041420330&doi=10.1109%2fTII.2018.2799907&partnerID=40&md5=28a9cd3061ecb0dbe3cbef72e8596e12","National Natural Science Foundation of China

National Key Research and Development Program of China","Final"
"Nguyen T.A., Do M., Gerevini A.E., Serina I., Srivastava B., Kambhampati S.","Generating diverse plans to handle unknown and partially known user preferences",2012,44,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863479544&doi=10.1016%2fj.artint.2012.05.005&partnerID=40&md5=29ea32afb7b479328a711bd0f1670140","National Science Foundation

Office of Naval Research

Defense Advanced Research Projects Agency

International Business Machines Corporation

Science Foundation Arizona","Final"
"Anoop Krishnan N.M., Mangalathu S., Smedskjaer M.M., Tandia A., Burton H., Bauchy M.","Predicting the dissolution kinetics of silicate glasses using machine learning",2018,40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042293042&doi=10.1016%2fj.jnoncrysol.2018.02.023&partnerID=40&md5=5e19c8e27fc1305f2ffa02a5cc27f99e","National Science Foundation

Department of Science and Technology, Government of Kerala","Final"
"Chakraborty S., Balasubramanian V., Sun Q., Panchanathan S., Ye J.","Active Batch Selection via Convex Relaxations with Guaranteed Solution Bounds",2015,40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941194771&doi=10.1109%2fTPAMI.2015.2389848&partnerID=40&md5=478e402b04c8d5876e4300f11a0a8d7b","National Science Foundation","Final"
"Plewczynski D., Basu S., Saha I.","AMS 4.0: Consensus prediction of post-translational modifications in protein sequences",2012,40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864743678&doi=10.1007%2fs00726-012-1290-2&partnerID=40&md5=bbce9e86d38d9dd1be1bb97b051c5856","Seventh Framework Programme","Final"
"Zhang J., Xie N., Zhang X., Yue K., Li W., Kumar D.","Machine learning based resource allocation of cloud computing in auction",2018,37,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054936547&doi=10.3970%2fcmc.2018.03728&partnerID=40&md5=cf939c8a2e0d1ead4a1f00ea1074c9e2","Scientific Research Foundation of Hunan Provincial Education Department

National Natural Science Foundation of China

Excellent Young Talents Fund Program of Higher Education Institutions of Anhui Province

Yunnan University

Yunnan Provincial Department of Education","Final"
"Toth R., Tiwari P., Rosen M., Reed G., Kurhanewicz J., Kalyanpur A., Pungavkar S., Madabhushi A.","A magnetic resonance spectroscopy driven initialization scheme for active shape model based prostate segmentation",2011,37,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79851508419&doi=10.1016%2fj.media.2010.09.002&partnerID=40&md5=d27edfcd1c35447941383b31ad20c914","National Cancer Institute

Wallace H. Coulter Foundation

Rutgers Cancer Institute of New Jersey

Rutgers, The State University of New Jersey","Final"
"Nimgaonkar A., Karnad D.R., Sudarshan S., Ohno-Machado L., Kohane I.","Prediction of mortality in an Indian intensive care unit: Comparison between APACHE II and artificial neural networks",2004,37,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1342310793&doi=10.1007%2fs00134-003-2105-4&partnerID=40&md5=dff641deb6e041fb28dc421370af2a08","U.S. National Library of Medicine","Final"
"Das B., Cook D.J., Krishnan N.C., Schmitter-Edgecombe M.","One-Class Classification-Based Real-Time Activity Error Detection in Smart Homes",2016,36,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982701536&doi=10.1109%2fJSTSP.2016.2535972&partnerID=40&md5=f8abae23e389a336ebd0ed333c3cf22f","National Science Foundation","Final"
"Srivastava S., Pasipanodya J.G., Ramachandran G., Deshpande D., Shuford S., Crosswell H.E., Cirrincione K.N., Sherman C.M., Swaminathan S., Gumbo T.","A Long-term Co-perfused Disseminated Tuberculosis-3D Liver Hollow Fiber Model for Both Drug Efficacy and Hepatotoxicity in Babies",2016,30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959570654&doi=10.1016%2fj.ebiom.2016.02.040&partnerID=40&md5=7cc73c59e65d59698a678fe8cec773cb","National Institutes of Health

NIH Office of the Director

National Institute of Allergy and Infectious Diseases","Final"
"Tripathi A.R., Ahmed T., Karnik N.M.","Experiences and future challenges in mobile agent programming",2001,30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035917603&doi=10.1016%2fS0141-9331%2801%2900105-3&partnerID=40&md5=869190dedf2a556fcb1da8a2ddba7f18","National Science Foundation","Final"
"Chakraborty S., Balasubramanian V., Panchanathan S.","Adaptive Batch Mode Active Learning",2015,29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937420560&doi=10.1109%2fTNNLS.2014.2356470&partnerID=40&md5=4189f4e0ae317d1eeeb2fbb83a7beb52","National Science Foundation","Final"
"Charaniya S., Mehra S., Lian W., Jayapal K.P., Karypis G., Hu W.-S.","Transcriptome dynamics-based operon prediction and verification in Streptomyces coelicolor",2007,29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37548999354&doi=10.1093%2fnar%2fgkm501&partnerID=40&md5=2508214afda291e6b661339c21ce8fcb","National Science Foundation","Final"
"Mosenia A., Sur-Kolay S., Raghunathan A., Jha N.K.","CABA: Continuous Authentication Based on BioAura",2017,28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018499378&doi=10.1109%2fTC.2016.2622262&partnerID=40&md5=9d8313fb2100e61ed2e3a95f75fe5ff8","National Science Foundation

Princeton University","Final"
