Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Sameni R., Shamsollahi M.B., Jutten C., Clifford G.D.","A nonlinear Bayesian filtering framework for ECG denoising",2007,322,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36348946459&doi=10.1109%2fTBME.2007.897817&partnerID=40&md5=5cd95ba4ad40a72c0b3a96e546c20065","National Institute of Biomedical Imaging and Bioengineering

Iran Telecommunication Research Center","Final"
"Modares H., Lewis F.L., Naghibi-Sistani M.-B.","Adaptive optimal control of unknown constrained-input systems using policy iteration and neural networks",2013,257,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885176157&doi=10.1109%2fTNNLS.2013.2276571&partnerID=40&md5=3e59f4e3d2cc5b8077cb6fbb76f5670a",,"Final"
"Jafari-Khouzani K., Soltanian-Zadeh H.","Radon transform orientation estimation for rotation invariant texture analysis",2005,229,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-21244439997&doi=10.1109%2fTPAMI.2005.126&partnerID=40&md5=ecfc866d0bdb7bfa61f4d2ec0e413dbd","National Institutes of Health

National Institute of Biomedical Imaging and Bioengineering","Final"
"Jafari-Khouzani K., Soltanian-Zadeh H.","Rotation-invariant multiresolution texture analysis using radon and wavelet transforms",2005,139,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444411826&doi=10.1109%2fTIP.2005.847302&partnerID=40&md5=ad8acdf06ecb9a6cdaaed422eb191aed","National Institutes of Health

National Institute of Biomedical Imaging and Bioengineering","Final"
"Chen W., Peng J., Hong H., Shahabi H., Pradhan B., Liu J., Zhu A.-X., Pei X., Duan Z.","Landslide susceptibility modelling using GIS-based machine learning techniques for Chongren County, Jiangxi Province, China",2018,129,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042195668&doi=10.1016%2fj.scitotenv.2018.01.124&partnerID=40&md5=89adc983766aabdddc38584eea661a78","University of Wisconsin-Madison

National Natural Science Foundation of China

Chinese Academy of Sciences

China Postdoctoral Science Foundation

Chengdu University of Technology

Education Department of Shaanxi Province

Shaanxi Province Postdoctoral Science Foundation

State Key Laboratory of Geohazard Prevention and Geoenvironment Protection

National Basic Research Program of China (973 Program)","Final"
"Dou J., Yunus A.P., Tien Bui D., Merghadi A., Sahana M., Zhu Z., Chen C.-W., Khosravi K., Yang Y., Pham B.T.","Assessment of advanced random forest and decision tree algorithms for modeling rainfall-induced landslide susceptibility in the Izu-Oshima Volcanic Island, Japan",2019,123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060476790&doi=10.1016%2fj.scitotenv.2019.01.221&partnerID=40&md5=38a323d65b53a180e90be6492ca9f123","National Natural Science Foundation of China","Final"
"Zhou C., Yin K., Cao Y., Ahmed B., Li Y., Catani F., Pourghasemi H.R.","Landslide susceptibility modeling applying machine learning methods: A case study from Longju in the Three Gorges Reservoir area, China",2018,94,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037535129&doi=10.1016%2fj.cageo.2017.11.019&partnerID=40&md5=4866b500ad637b0da3995a8d3d698805","China Three Gorges Corporation

National Natural Science Foundation of China

Università degli Studi di Firenze

China Scholarship Council","Final"
"Sajedi-Hosseini F., Malekian A., Choubin B., Rahmati O., Cipullo S., Coulon F., Pradhan B.","A novel machine learning-based approach for the risk assessment of nitrate groundwater contamination",2018,83,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049899488&doi=10.1016%2fj.scitotenv.2018.07.054&partnerID=40&md5=181ff14c17c88571c65e52775da6ab92","Horizon 2020 Framework Programme","Final"
"Ardabili S.F., Mosavi A., Ghamisi P., Ferdinand F., Varkonyi-Koczy A.R., Reuter U., Rabczuk T., Atkinson P.M.","COVID-19 outbreak prediction with machine learning",2020,49,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099545833&doi=10.3390%2fa13100249&partnerID=40&md5=5f6c128a695cf86c2d113fe265e92540","European Commission

European Social Fund

European Regional Development Fund","Final"
"Chen W., Shahabi H., Shirzadi A., Hong H., Akgun A., Tian Y., Liu J., Zhu A.-X., Li S.","Novel hybrid artificial intelligence approach of bivariate statistical-methods-based kernel logistic regression classifier for landslide susceptibility modeling",2019,49,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056352533&doi=10.1007%2fs10064-018-1401-8&partnerID=40&md5=9fd7de95aa9d80bfe85fa80f3a3a6c78","National Natural Science Foundation of China

Chinese Academy of Sciences

China Postdoctoral Science Foundation

Shaanxi Province Postdoctoral Science Foundation","Final"
"Samadzadegan F., Hasani H., Schenk T.","Simultaneous feature selection and SVM parameter determination in classification of hyperspectral imagery using Ant Colony Optimization",2012,38,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865742501&doi=10.5589%2fm12-022&partnerID=40&md5=f038e19e1ad8feab194be91586ad5b27","European Commission

Deutsches Zentrum für Luft- und Raumfahrt","Final"
