Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,1354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955623505&doi=10.1126%2fscience.1184984&partnerID=40&md5=ec88be350308611ca1a70311c004f35c","National Science Foundation

Seventh Framework Programme

Natural Environment Research Council","Final"
"Jung M., Reichstein M., Ciais P., Seneviratne S.I., Sheffield J., Goulden M.L., Bonan G., Cescatti A., Chen J., De Jeu R., Dolman A.J., Eugster W., Gerten D., Gianelle D., Gobron N., Heinke J., Kimball J., Law B.E., Montagnani L., Mu Q., Mueller B., Oleson K., Papale D., Richardson A.D., Roupsard O., Running S., Tomelleri E., Viovy N., Weber U., Williams C., Wood E., Zaehle S., Zhang K.","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,1160,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049234152&doi=10.1038%2fnature09396&partnerID=40&md5=187bcbd15d7579086488eb3cf2e145ad","National Science Foundation

Biological and Environmental Research

Université Laval

Seventh Framework Programme

BIOCAP Canada

Università degli Studi della Tuscia

Natural Sciences and Engineering Research Council of Canada

Environment Canada

Natural Resources Canada

Canadian Foundation for Climate and Atmospheric Sciences

European Commission

Seventh Framework Programme

Sixth Framework Programme

Max Planck Institute for Nuclear Physics","Final"
"Capriotti E., Fariselli P., Casadio R.","I-Mutant2.0: Predicting stability changes upon mutation from the protein sequence or structure",2005,893,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-23144461249&doi=10.1093%2fnar%2fgki375&partnerID=40&md5=31ee3bb3d9ea63a2d63be70e7701d960","Università di Bologna

Ministero dell’Istruzione, dell’Università e della Ricerca

Sixth Framework Programme","Final"
"Guidotti R., Monreale A., Ruggieri S., Turini F., Giannotti F., Pedreschi D.","A survey of methods for explaining black box models",2018,532,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052502285&doi=10.1145%2f3236009&partnerID=40&md5=e7bfd8c1df3a7f796a49cf32f9452d71","Horizon 2020 Framework Programme","Final"
"Laschi C., Cianchetti M., Mazzolai B., Margheri L., Follador M., Dario P.","Soft robot arm inspired by the octopus",2012,498,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858255759&doi=10.1163%2f156855312X626343&partnerID=40&md5=b0791ade13a9f1501e2d2659d4b7c1a6","Seventh Framework Programme

European Commission","Final"
"Colleoni E., Rozza A., Arvidsson A.","Echo Chamber or Public Sphere? Predicting Political Orientation and Measuring Political Homophily in Twitter Using Big Data",2014,418,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898903739&doi=10.1111%2fjcom.12084&partnerID=40&md5=2db659fdb3d2ad1cbea4820d81898019","Horizon 2020 Framework Programme","Final"
"Pillonetto G., Dinuzzo F., Chen T., De Nicolao G., Ljung L.","Kernel methods in system identification, machine learning and function estimation: A survey",2014,350,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895926571&doi=10.1016%2fj.automatica.2014.01.001&partnerID=40&md5=0299b9acfac768d7d717fd3616c754bc","Seventh Framework Programme","Final"
"Dung P.M., Mancarella P., Toni F.","Computing ideal sceptical argumentation",2007,292,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548024853&doi=10.1016%2fj.artint.2007.05.003&partnerID=40&md5=8c1393062545644f01b4d9dd9146ad14","European Commission

Sixth Framework Programme","Final"
"Bernardo D.D., Thompson M.J., Gardner T.S., Chobot S.E., Eastwood E.L., Wojtovich A.P., Elliott S.J., Schaus S.E., Collins J.J.","Chemogenomic profiling on a genome-wide scale using reverse-engineered gene networks",2005,286,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-21444452397&doi=10.1038%2fnbt1075&partnerID=40&md5=fb8d4b3d70acfe8c52b5e980105e684f","National Science Foundation

National Institutes of Health

U.S. Department of Energy

National Heart, Lung, and Blood Institute

Pharmaceutical Research and Manufacturers of America Foundation

Boston University

Whitaker Foundation

Fondazione Telethon","Final"
"Rossini P.M., Micera S., Benvenuto A., Carpaneto J., Cavallo G., Citi L., Cipriani C., Denaro L., Denaro V., Di Pino G., Ferreri F., Guglielmelli E., Hoffmann K.-P., Raspopovic S., Rigosa J., Rossini L., Tombini M., Dario P.","Double nerve intraneural interface implant on a human amputee for robotic hand control",2010,264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949422852&doi=10.1016%2fj.clinph.2010.01.001&partnerID=40&md5=32ba7db6468cb652e84ca0ffbfda2474","Seventh Framework Programme","Final"
"Cappelli R., Maio D., Maltoni D., Wayman J.L., Jain A.K.","Performance evaluation of fingerprint verification systems",2006,250,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644816032&doi=10.1109%2fTPAMI.2006.20&partnerID=40&md5=806ca9804a15e30c31143d79cfe44592","European Commission","Final"
"Biggio B., Roli F.","Wild patterns: Ten years after the rise of adversarial machine learning",2018,234,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050603085&doi=10.1016%2fj.patcog.2018.07.023&partnerID=40&md5=db06d07e44c9130f26a1d0f4fba0ea81","Horizon 2020 Framework Programme","Final"
"Mondada F., Pettinaro G.C., Guignard A., Kwee I.W., Floreano D., Deneubourg J.-L., Nolfi S., Gambardella L.M., Dorigo M.","Swarm-bot: A new distributed robotic concept",2004,230,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142769777&doi=10.1023%2fB%3aAURO.0000033972.50769.1c&partnerID=40&md5=5dfc9414a0387f364b79d78f2afb43de","H2020 Future and Emerging Technologies

European Commission

Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung

Fédération Wallonie-Bruxelles","Final"
"Dorigo M., Trianni V., Şahin E., Groß R., Labella T.H., Baldassarre G., Nolfi S., Deneubourg J.-L., Mondada F., Floreano D., Gambardella L.M.","Evolving self-organizing behaviors for a swarm-bot",2004,228,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142710864&doi=10.1023%2fB%3aAURO.0000033973.24945.f3&partnerID=40&md5=6e13f5548783dd7f4c7b92447f3dc9ce","European Commission

Fédération Wallonie-Bruxelles","Final"
"Coyle S., Lau K.-T., Moyna N., O'Gorman D., Diamond D., Di Francesco F., Costanzo D., Salvo P., Trivella M.G., De Rossi D.E., Taccini N., Paradiso R., Porchet J.-A., Ridolfi A., Luprano J., Chuzel C., Lanier T., Revol-Cavalier F., Schoumacker S., Mourier V., Chartier I., Convert R., De-Moncuit H., Bini C.","BIOTEXBiosensing textiles for personalised healthcare management",2010,223,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949684516&doi=10.1109%2fTITB.2009.2038484&partnerID=40&md5=7fb7687703b50730e443d56dca1c9b20","European Commission

Science Foundation Ireland","Final"
"Zambonelli F., Omicini A.","Challenges and research directions in agent-oriented software engineering",2004,211,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344626967&doi=10.1023%2fB%3aAGNT.0000038028.66672.1e&partnerID=40&md5=601c7c37391a17e8ade4eae70b5cc386","Ministero dell’Istruzione, dell’Università e della Ricerca

European Commission","Final"
"Cappelli R., Lumini A., Maio D., Maltoni D.","Fingerprint image reconstruction from standard templates",2007,196,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548118752&doi=10.1109%2fTPAMI.2007.1087&partnerID=40&md5=6cc78becb831f51f7b02ece94e74bdca","European Commission","Final"
"Patel V.L., Shortliffe E.H., Stefanelli M., Szolovits P., Berthold M.R., Bellazzi R., Abu-Hanna A.","The coming of age of artificial intelligence in medicine",2009,186,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549138950&doi=10.1016%2fj.artmed.2008.07.017&partnerID=40&md5=cfce4ec54dbf62c094bd2b9bcab45a7e","U.S. National Library of Medicine","Final"
"Bartolini I., Ciaccia P., Patella M.","WARP: Accurate retrieval of shapes using phase of fourier descriptors and time warping distance",2005,167,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13344283394&doi=10.1109%2fTPAMI.2005.21&partnerID=40&md5=173014a13cff9009701ba0b7376692ef","European Commission","Final"
"Gelfond M., Leone N.","Logic programming and knowledge representation - The A-Prolog perspective",2002,148,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642314661&doi=10.1016%2fS0004-3702%2802%2900207-2&partnerID=40&md5=03ab65d6983c89d7cfb43216bb84a6ad","National Aeronautics and Space Administration

European Commission","Final"
