Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Chang F., Dell G.S., Bock K.","Becoming syntactic",2006,563,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744529877&doi=10.1037%2f0033-295X.113.2.234&partnerID=40&md5=a7b2648ddf0964a8350d8910e356e243","Eunice Kennedy Shriver National Institute of Child Health and Human Development","Final"
"Celebi M.E., Kingravi H.A., Uddin B., Iyatomi H., Aslandogan Y.A., Stoecker W.V., Moss R.H.","A methodological approach to the classification of dermoscopy images",2007,396,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447251296&doi=10.1016%2fj.compmedimag.2007.01.003&partnerID=40&md5=5c5894765af35c2a5d99d6b35e2db5c9","National Science Foundation

National Institutes of Health

National Cancer Institute

Small Business Innovation Research

Texas Workforce Commission","Final"
"Celebi M.E., Iyatomi H., Schaefer G., Stoecker W.V.","Lesion border detection in dermoscopy images",2009,297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149164864&doi=10.1016%2fj.compmedimag.2008.11.002&partnerID=40&md5=0e4ad76936ed8556d8f532e84962528f","National Institutes of Health

National Cancer Institute

Small Business Innovation Research

Louisiana Board of Regents","Final"
"Huang C., Ai H., Li Y., Lao S.","High-performance rotation invariant multiview face detection",2007,284,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947536269&doi=10.1109%2fTPAMI.2007.1011&partnerID=40&md5=66a1f82236767682bb5ff21c23788479","OMRON Corporation

National Natural Science Foundation of China

National Key Research and Development Program of China","Final"
"Celebi M.E., Kingravi H.A., Iyatomi H., Aslandogan Y.A., Stoecker W.V., Moss R.H., Malters J.M., Grichnik J.M., Marghoob A.A., Rabinovitz H.S., Menzies S.W.","Border detection in dermoscopy images using statistical region merging",2008,241,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-48249158393&doi=10.1111%2fj.1600-0846.2008.00301.x&partnerID=40&md5=9ebf2b22c199237f8f124698540e2208","National Cancer Institute","Final"
"Li Q., Meng Q., Cai J., Yoshino H., Mochida A.","Predicting hourly cooling load in the building: A comparison of support vector machine and different artificial neural networks",2009,217,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56049088473&doi=10.1016%2fj.enconman.2008.08.033&partnerID=40&md5=4a98cd311635764eaa21357c1a68d66f","National Natural Science Foundation of China

China Scholarship Council","Final"
"Yu L., Wang S., Lai K.K.","A novel nonlinear ensemble forecasting model incorporating GLAR and ANN for foreign exchange rates",2005,198,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13544270843&doi=10.1016%2fj.cor.2004.06.024&partnerID=40&md5=7dc678043c6f2ec7c70b6094e4a58ff0","City University of Hong Kong

Japan Society for the Promotion of Science

National Natural Science Foundation of China

Chinese Academy of Sciences","Final"
"Rzhetsky A., Iossifov I., Koike T., Krauthammer M., Kra P., Morris M., Yu H., Duboué P.A., Weng W., Wilbur W.J., Hatzivassiloglou V., Friedman C.","GeneWays: A system for extracting, analyzing, visualizing, and integrating molecular pathway data",2004,198,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-12144290446&doi=10.1016%2fj.jbi.2003.10.001&partnerID=40&md5=9f19a2e1c64b49cec8268682d727c97a","National Science Foundation

National Institutes of Health

U.S. Department of Energy

National Institute of General Medical Sciences

U.S. National Library of Medicine","Final"
"Li Y., Ai H., Yamashita T., Lao S., Kawade M.","Tracking in low frame rate video: A cascade particle filter with discriminative observers of different life spans",2008,193,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50249113689&doi=10.1109%2fTPAMI.2008.73&partnerID=40&md5=dfc19ce42c58065ae44c8a48a31948dc","National Natural Science Foundation of China

National Key Research and Development Program of China","Final"
"Dong Y., Zha Q., Zhang H., Kou G., Fujita H., Chiclana F., Herrera-Viedma E.","Consensus reaching in social network group decision making: Research paradigms and challenges",2018,192,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049619965&doi=10.1016%2fj.knosys.2018.06.036&partnerID=40&md5=acc63b8256d8ac84dcb9f3be828c7342","National Natural Science Foundation of China

Ministerio de Economía y Competitividad

Sichuan University

European Regional Development Fund","Final"
