Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Zeng Z., Pantic M., Roisman G.I., Huang T.S.","A survey of affect recognition methods: Audio, visual, and spontaneous expressions",2009,1878,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149144228&doi=10.1109%2fTPAMI.2008.52&partnerID=40&md5=03239f7f62477500a7679335469bd372","National Science Foundation

Seventh Framework Programme

European Research Council","Final"
"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,1354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955623505&doi=10.1126%2fscience.1184984&partnerID=40&md5=ec88be350308611ca1a70311c004f35c","National Science Foundation

Seventh Framework Programme

Natural Environment Research Council","Final"
"Jung M., Reichstein M., Ciais P., Seneviratne S.I., Sheffield J., Goulden M.L., Bonan G., Cescatti A., Chen J., De Jeu R., Dolman A.J., Eugster W., Gerten D., Gianelle D., Gobron N., Heinke J., Kimball J., Law B.E., Montagnani L., Mu Q., Mueller B., Oleson K., Papale D., Richardson A.D., Roupsard O., Running S., Tomelleri E., Viovy N., Weber U., Williams C., Wood E., Zaehle S., Zhang K.","Recent decline in the global land evapotranspiration trend due to limited moisture supply",2010,1160,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049234152&doi=10.1038%2fnature09396&partnerID=40&md5=187bcbd15d7579086488eb3cf2e145ad","National Science Foundation

Biological and Environmental Research

Université Laval

Seventh Framework Programme

BIOCAP Canada

Università degli Studi della Tuscia

Natural Sciences and Engineering Research Council of Canada

Environment Canada

Natural Resources Canada

Canadian Foundation for Climate and Atmospheric Sciences

European Commission

Seventh Framework Programme

Sixth Framework Programme

Max Planck Institute for Nuclear Physics","Final"
"Van Griethuysen J.J.M., Fedorov A., Parmar C., Hosny A., Aucoin N., Narayan V., Beets-Tan R.G.H., Fillion-Robin J.-C., Pieper S., Aerts H.J.W.L.","Computational radiomics system to decode the radiographic phenotype",2017,780,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035021353&doi=10.1158%2f0008-5472.CAN-17-0339&partnerID=40&md5=e2bbcfe2a2e6a8ec00b02cf00ef7f2fa","National Institutes of Health

National Cancer Institute","Final"
"Yu W., Chen G., Cao M., Kurths J.","Second-Order consensus for multiagent systems with directed topologies and nonlinear dynamics",2010,778,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952581942&doi=10.1109%2fTSMCB.2009.2031624&partnerID=40&md5=61b314a123f5588f567922d00f332fbc","Deutscher Akademischer Austauschdienst

Deutsche Forschungsgemeinschaft

National Natural Science Foundation of China","Final"
"Rozinat A., van der Aalst W.M.P.","Conformance checking of processes based on monitoring real behavior",2008,694,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35748949584&doi=10.1016%2fj.is.2007.07.001&partnerID=40&md5=b752a3e9d0b11a20a0642d1d76240d38","European Commission

Ministerie van Economische Zaken

European Institute of Innovation and Technology

Stichting voor de Technische Wetenschappen","Final"
"Pruim R.H.R., Mennes M., van Rooij D., Llera A., Buitelaar J.K., Beckmann C.F.","ICA-AROMA: A robust ICA-based strategy for removing motion artifacts from fMRI data",2015,486,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933042676&doi=10.1016%2fj.neuroimage.2015.02.064&partnerID=40&md5=29af9b0fbc2109f42156f8b561671454","Wellcome Trust

European Research Council

ZonMw

Vrije Universiteit Amsterdam

Nederlandse Organisatie voor Wetenschappelijk Onderzoek

Seventh Framework Programme","Final"
"de Oliveira T., Deforche K., Cassol S., Salminen M., Paraskevis D., Seebregts C., Snoeck J., van Rensburg E.J., Wensing A.M.J., van de Vijver D.A., Boucher C.A., Camacho R., Vandamme A.-M.","An automated genotyping system for analysis of HIV-1 and other microbial sequences",2005,404,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27544496497&doi=10.1093%2fbioinformatics%2fbti607&partnerID=40&md5=21f926c3e33f495d0244ae15ee780cbb","Wellcome Trust

European Commission

Agentschap voor Innovatie door Wetenschap en Technologie

KU Leuven","Final"
"Knijnenburg B.P., Willemsen M.C., Gantner Z., Soncu H., Newell C.","Explaining the user experience of recommender systems",2012,371,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866024894&doi=10.1007%2fs11257-011-9118-4&partnerID=40&md5=630981b0fc045565b7f6c4b9bc0f379d","Seventh Framework Programme","Final"
"Caminada M., Amgoud L.","On the evaluation of argumentation formalisms",2007,327,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147136754&doi=10.1016%2fj.artint.2007.02.003&partnerID=40&md5=3cbafc1efd7f31329f6812398fad5585","European Commission","Final"
"Niemeijer M., Van Ginneken B., Russell S.R., Suttorp-Schulten M.S.A., Abràmoff M.D.","Automated detection and differentiation of drusen, exudates, and cotton-wool spots in digital color fundus photographs for diabetic retinopathy diagnosis",2007,282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250191083&doi=10.1167%2fiovs.06-0996&partnerID=40&md5=c92d8c83cb6eba873539fa868cae56d0","National Eye Institute","Final"
"Vreeswijk G.A.W.","Abstract argumentation systems",1997,216,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031074495&doi=10.1016%2fs0004-3702%2896%2900041-0&partnerID=40&md5=4dad8381dd7fac3e1b37735e398857a4","National Science Foundation","Final"
"Valstar M.F., Pantic M.","Fully automatic recognition of the temporal phases of facial actions",2012,215,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856294719&doi=10.1109%2fTSMCB.2011.2163710&partnerID=40&md5=b7e3f390839f2353954f6d81df1f3b61","Seventh Framework Programme

Engineering and Physical Sciences Research Council

European Research Council","Final"
"Ruttenberg A., Clark T., Bug W., Samwald M., Bodenreider O., Chen H., Doherty D., Forsberg K., Gao Y., Kashyap V., Kinoshita J., Luciano J., Marshall S.M., Ogbuji C., Rees J., Stephens S., Wong G.T., Wu E., Zaccagnini D., Hongsermeier T., Neumann E., Herman I., Cheung K.-H.","Advancing translational research with the Semantic Web",2007,199,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249860439&doi=10.1186%2f1471-2105-8-S3-S2&partnerID=40&md5=3dbd243b47445c31169250e6b3599da8","National Science Foundation

National Institute of Mental Health","Final"
"Niemeijer M., Abràmoff M.D., Van Ginneken B.","Segmentation of the optic disc, macula and vascular arch in fundus photographs",2007,192,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846265680&doi=10.1109%2fTMI.2006.885336&partnerID=40&md5=242c27c8b202d157a0b5f199313cc7cc","National Eye Institute

Research to Prevent Blindness

ZonMw

Ministerie van Economische Zaken","Final"
"Patel V.L., Shortliffe E.H., Stefanelli M., Szolovits P., Berthold M.R., Bellazzi R., Abu-Hanna A.","The coming of age of artificial intelligence in medicine",2009,186,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549138950&doi=10.1016%2fj.artmed.2008.07.017&partnerID=40&md5=cfce4ec54dbf62c094bd2b9bcab45a7e","U.S. National Library of Medicine","Final"
"Joiner J., Yoshida Y., Vasilkov A.P., Schaefer K., Jung M., Guanter L., Zhang Y., Garrity S., Middleton E.M., Huemmrich K.F., Gu L., Belelli Marchesini L.","The seasonal cycle of satellite chlorophyll fluorescence observations and its relationship to vegetation phenology and ecosystem atmosphere carbon exchange",2014,185,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905216812&doi=10.1016%2fj.rse.2014.06.022&partnerID=40&md5=5886c95b3ebd2f4ef4466c564a59df77","National Science Foundation

U.S. Department of Energy

National Aeronautics and Space Administration

National Oceanic and Atmospheric Administration

U.S. Department of Agriculture

Biological and Environmental Research

Oak Ridge National Laboratory

University of California Berkeley

South Dakota State University

University of Virginia

BIOCAP Canada

Natural Sciences and Engineering Research Council of Canada

Environment Canada

Natural Resources Canada

Canadian Foundation for Climate and Atmospheric Sciences

Australian Research Council","Final"
"Shrestha D.L., Solomatine D.P.","Machine learning approaches for estimation of prediction interval for the model output",2006,182,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645987256&doi=10.1016%2fj.neunet.2006.01.012&partnerID=40&md5=da253b89224c0301418cdafa97370a15","Sixth Framework Programme","Final"
"Niemeijer M., Abràmoff M.D., van Ginneken B.","Fast detection of the optic disc and fovea in color fundus photographs",2009,175,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350422327&doi=10.1016%2fj.media.2009.08.003&partnerID=40&md5=4bee9ce745d1ca42b6294916aa54d4b4","National Eye Institute","Final"
"Magnuson J.S., Tanenhaus M.K., Aslin R.N., Dahan D.","The Time Course of Spoken Word Learning and Recognition: Studies With Artificial Lexicons",2003,145,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141483745&doi=10.1037%2f0096-3445.132.2.202&partnerID=40&md5=bccc257d0c212e43cbffef75d1473969","National Institute on Deafness and Other Communication Disorders","Final"
"Coenen L., Díaz López F.J.","Comparing systems approaches to innovation and technological change for sustainable and competitive economies: An explorative study into conceptual commonalities, differences and complementarities",2010,140,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955272911&doi=10.1016%2fj.jclepro.2010.04.003&partnerID=40&md5=6fcacb808c86a45265604458a9844020","European Commission

Vetenskapsrådet","Final"
"Fernando B., Gavves E., Jose Oramas M., Ghodrati A., Tuytelaars T.","Rank Pooling for Action Recognition",2017,137,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015928262&doi=10.1109%2fTPAMI.2016.2558148&partnerID=40&md5=b41daaef1051154fda88ee60ede99dec","Seventh Framework Programme","Final"
"Battles J.B., Kaplan H.S., Van Der Schaaf T.W., Shea C.E.","The attributes of medical event-reporting systems: Experience with a prototype medical event-reporting system for transfusion medicine",1998,135,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345215145&partnerID=40&md5=8927760e0d94876e19545c7f0c166fa3","National Heart, Lung, and Blood Institute","Final"
"Lukas L., Devos A., Suykens J.A.K., Vanhamme L., Howe F.A., Majós C., Moreno-Torres A., Van Der Graaf M., Tate A.R., Arús C., Van Huffel S.","Brain tumor classification based on long echo proton MRS signals",2004,132,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942620732&doi=10.1016%2fj.artmed.2004.01.001&partnerID=40&md5=c9055a6b18fe178448efbcb48ffde129","European Commission

Fonds Wetenschappelijk Onderzoek

Agentschap voor Innovatie door Wetenschap en Technologie","Final"
"Scharr H., Minervini M., French A.P., Klukas C., Kramer D.M., Liu X., Luengo I., Pape J.-M., Polder G., Vukadinovic D., Yin X., Tsaftaris S.A.","Leaf segmentation in plant phenotyping: a collation study",2016,118,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949637673&doi=10.1007%2fs00138-015-0737-3&partnerID=40&md5=225536dc0e65647de917e117065e1e2f","Seventh Framework Programme","Final"
"Van Delden H., Seppelt R., White R., Jakeman A.J.","A methodology for the design and development of integrated models for policy support",2011,117,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649846894&doi=10.1016%2fj.envsoft.2010.03.021&partnerID=40&md5=d903760e13a69fd3b779c09dee3790ad","European Commission","Final"
"Mocanu E., Mocanu D.C., Nguyen P.H., Liotta A., Webber M.E., Gibescu M., Slootweg J.G.","On-Line Building Energy Optimization Using Deep Reinforcement Learning",2019,116,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046827366&doi=10.1109%2fTSG.2018.2834219&partnerID=40&md5=357f11b8a30873d6a7820269e1901550","Horizon 2020","Final"
"García-Gómez J.M., Luts J., Julià-Sapé M., Krooshof P., Tortajada S., Robledo J.V., Melssen W., Fuster-García E., Olier I., Postma G., Monleón D., Moreno-Torres A., Pujol J., Candiota A.-P., Martínez-Bisbal M.C., Suykens J., Buydens L., Celda B., Van Huffel S., Arús C., Robles M.","Multiproject-multicenter evaluation of automatic brain tumor classification by magnetic resonance spectroscopy",2009,107,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60549113497&doi=10.1007%2fs10334-008-0146-y&partnerID=40&md5=3e07d8634198c9cb6a9b1b3fbe017dc5","European Commission

Agentschap voor Innovatie door Wetenschap en Technologie

European Social Fund","Final"
"Neri F., Mininno E., Iacca G.","Compact particle swarm optimization",2013,103,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876911116&doi=10.1016%2fj.ins.2013.03.026&partnerID=40&md5=3aca62e33892e0a053ce4c77d9897328","Academy of Finland

European Regional Development Fund","Final"
"Jiang B., Valstar M., Martinez B., Pantic M.","A dynamic appearance descriptor approach to facial actions temporal modeling",2014,102,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892815469&doi=10.1109%2fTCYB.2013.2249063&partnerID=40&md5=cf00259c2647b9b9d0743a5c02fb7d6f","Seventh Framework Programme

Engineering and Physical Sciences Research Council","Final"
