Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Chen M., Mozaffari M., Saad W., Yin C., Debbah M., Hong C.S.","Caching in the Sky: Proactive Deployment of Cache-Enabled Unmanned Aerial Vehicles for Optimized Quality-of-Experience",2017,394,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019756493&doi=10.1109%2fJSAC.2017.2680898&partnerID=40&md5=3473fecbeed69a29cf5d159a3678eaf6","National Science Foundation

Seventh Framework Programme","Final"
"Suk H.-I., Lee S.-W., Shen D., Alzheimer's Disease Neuroimaging Initiative","Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis",2014,373,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907019192&doi=10.1016%2fj.neuroimage.2014.06.077&partnerID=40&md5=c5dd9d8ebfca5441c9ee4ed1efcbf982","National Institutes of Health

National Institute of Mental Health

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

National Research Foundation of Korea","Final"
"Gómez-Bombarelli R., Aguilera-Iparraguirre J., Hirzel T.D., Duvenaud D., Maclaurin D., Blood-Forsythe M.A., Chae H.S., Einzinger M., Ha D.-G., Wu T., Markopoulos G., Jeon S., Kang H., Miyazaki H., Numata M., Kim S., Huang W., Hong S.I., Baldo M., Adams R.P., Aspuru-Guzik A.","Design of efficient molecular organic light-emitting diodes by a high-throughput virtual screening and experimental approach",2016,352,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981173474&doi=10.1038%2fnmat4717&partnerID=40&md5=d2d63744bb224bd21e20328bdfb1d06d","National Science Foundation","Final"
"Lee E., Chuang H.-Y., Kim J.-W., Ideker T., Lee D.","Inferring pathway activity toward precise disease classification",2008,330,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149092133&doi=10.1371%2fjournal.pcbi.1000217&partnerID=40&md5=5bf942c0c2ca97244f1d2518c91b4305","National Institute of Environmental Health Sciences","Final"
"Hansen K., Biegler F., Ramakrishnan R., Pronobis W., Von Lilienfeld O.A., Müller K.-R., Tkatchenko A.","Machine learning predictions of molecular properties: Accurate many-body potentials and nonlocality in chemical space",2015,313,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935014439&doi=10.1021%2facs.jpclett.5b00831&partnerID=40&md5=89b6dd392c4de4480a9036236608a077","Seventh Framework Programme

Schweizerischer Nationalfonds zur F&#x00F6;rderung der Wissenschaftlichen Forschung","Final"
"Schütt K.T., Sauceda H.E., Kindermans P.-J., Tkatchenko A., Müller K.-R.","SchNet - A deep learning architecture for molecules and materials",2018,284,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044731105&doi=10.1063%2f1.5019779&partnerID=40&md5=6aa902452c61b655ff4128c385980c86","California Department of Fish and Game

Horizon 2020 Framework Programme

Banting and Best Diabetes Centre, University of Toronto

European Research Council

Deutsche Forschungsgemeinschaft

Bundesministerium für Bildung und Forschung

Institute for Information and Communications Technology Promotion","Final"
"Chmiela S., Tkatchenko A., Sauceda H.E., Poltavsky I., Schütt K.T., Müller K.-R.","Machine learning of accurate energy-conserving molecular force fields",2017,282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041381183&doi=10.1126%2fsciadv.1603015&partnerID=40&md5=1208931568fc6c2799460221ab23ed3c","Horizon 2020 Framework Programme","Final"
"Lee K., Lam M., Pedarsani R., Papailiopoulos D., Ramchandran K.","Speeding Up Distributed Machine Learning Using Codes",2018,206,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028987787&doi=10.1109%2fTIT.2017.2736066&partnerID=40&md5=3efab5c678ea4fd420e0fc93bc00241e","National Science Foundation

Institute for Information and Communications Technology Promotion

Ministry of Science and ICT, South Korea","Final"
"Wang M., Ge S.S., Hong K.-S.","Approximation-based adaptive tracking control of pure-feedback nonlinear systems with multiple unknown time-varying delays",2010,163,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149318716&doi=10.1109%2fTNN.2010.2073719&partnerID=40&md5=5a32ce98d9d9339946d8af8694c5a1d2","National Natural Science Foundation of China

Natural Science Foundation of Guangdong Province

National Research Foundation of Korea

Ministry of Education, Science and Technology

South China University of Technology

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities","Final"
"Yang H.-D., Sclaroff S., Lee S.-W.","Sign language spotting with a threshold model based on conditional random fields",2009,150,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349252145&doi=10.1109%2fTPAMI.2008.172&partnerID=40&md5=edac078a99c17cd40599301d1a4aefa0","National Science Foundation

Ministry of Knowledge Economy

Ministry of Education, Science and Technology","Final"
