Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Yang J., Zhang D., Frangi A.F., Yang J.-Y.","Two-Dimensional PCA: A New Approach to Appearance-Based Face Representation and Recognition",2004,2844,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0742268833&doi=10.1109%2fTPAMI.2004.1261097&partnerID=40&md5=79310090621ea2b053ae3c0b518f20c4","National Natural Science Foundation of China

Hong Kong Polytechnic University

Ministerio de Ciencia y Tecnología

Universidad de Zaragoza","Final"
"Yang J., Frangi A.F., Yang J.-Y., Zhang D., Jin Z.","KPCA plus LDA: A complete kernel fisher discriminant framework for feature extraction and recognition",2005,745,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-14544297033&doi=10.1109%2fTPAMI.2005.33&partnerID=40&md5=d9cbbbf2564ff689c82dbdf8c8357a5d","U.S. Department of Defense

Defense Advanced Research Projects Agency

National Natural Science Foundation of China

Hong Kong Polytechnic University

Instituto de Salud Carlos III

Ministerio de Ciencia y Tecnología","Final"
"Bolón-Canedo V., Sánchez-Maroño N., Alonso-Betanzos A., Benítez J.M., Herrera F.","A review of microarray datasets and applied feature selection methods",2014,354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905179334&doi=10.1016%2fj.ins.2014.05.042&partnerID=40&md5=4b298b98d3e42209f48b1bd7bb5b4877","European Commission

European Regional Development Fund

Xunta de Galicia","Final"
"Iglesias J.E., Sabuncu M.R.","Multi-atlas segmentation of biomedical images: A survey",2015,329,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937215853&doi=10.1016%2fj.media.2015.06.012&partnerID=40&md5=64790520f22739da3e753c2f9d5c9062","National Institute of Biomedical Imaging and Bioengineering","Final"
"Li J., Bioucas-Dias J.M., Plaza A.","Hyperspectral image segmentation using a new bayesian approach with active learning",2011,316,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053562930&doi=10.1109%2fTGRS.2011.2128330&partnerID=40&md5=abf7f5f7ef47f495868cc0c5ded6b699","European Commission","Final"
"Rodriguez-Galiano V., Sanchez-Castillo M., Chica-Olmo M., Chica-Rivas M.","Machine learning predictive models for mineral prospectivity: An evaluation of neural networks, random forest, regression trees and support vector machines",2015,289,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938951730&doi=10.1016%2fj.oregeorev.2015.01.001&partnerID=40&md5=de8890fea17a23445a3ec55fbbe49a44","European Commission

Ministerio de Economía y Competitividad

Junta de Andalucía","Final"
"Bagstad K.J., Johnson G.W., Voigt B., Villa F.","Spatial dynamics of ecosystem service flows: A comprehensive approach to quantifying actual services",2013,259,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879424766&doi=10.1016%2fj.ecoser.2012.07.012&partnerID=40&md5=b3eff83036cdebf48802416d735ff7ba","National Science Foundation

U.S. Geological Survey","Final"
"Serrano-Gotarredona R., Oster M., Lichtsteiner P., Linares-Barranco A., Paz-Vicente R., Gómez-Rodríguez F., Camunas-Mesa L., Berner R., Rivas-Perez M., Delbrück T., Liu S.-C., Douglas R., Hafliger P., Jimenez-Moreno G., Civit Ballcels A., Serrano-Gotarredona T., Acosta-Jimenez A.J., Linares-Barranco B.","CAVIAR: A 45k neuron, 5M synapse, 12G connects/s AER hardware sensory-processing-learning-actuating system for high-speed visual object recognition and tracking",2009,253,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349253937&doi=10.1109%2fTNN.2009.2023653&partnerID=40&md5=c7afd2989b8cd4525be5b385d24d7f48","Family Process Institute

European Commission

Eidgenössische Technische Hochschule Zürich

Ministerio de Ciencia e Innovación","Final"
"Villa F., Bagstad K.J., Voigt B., Johnson G.W., Portela R., Honzák M., Batker D.","A methodology for adaptable and robust ecosystem services assessment",2014,212,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898750316&doi=10.1371%2fjournal.pone.0091001&partnerID=40&md5=c4adcc11533a702c27ee58e813a33e6c","National Science Foundation

Natural Environment Research Council","Final"
"Araque O., Corcuera-Platas I., Sánchez-Rada J.F., Iglesias C.A.","Enhancing deep learning sentiment analysis with ensemble techniques in social applications",2017,202,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012146253&doi=10.1016%2fj.eswa.2017.02.002&partnerID=40&md5=12572e302310e071bcbf36763217a097","Horizon 2020 Framework Programme","Final"
