Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Zeng Z., Pantic M., Roisman G.I., Huang T.S.","A survey of affect recognition methods: Audio, visual, and spontaneous expressions",2009,1878,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149144228&doi=10.1109%2fTPAMI.2008.52&partnerID=40&md5=03239f7f62477500a7679335469bd372","National Science Foundation

Seventh Framework Programme

European Research Council","Final"
"Klein A., Andersson J., Ardekani B.A., Ashburner J., Avants B., Chiang M.-C., Christensen G.E., Collins D.L., Gee J., Hellier P., Song J.H., Jenkinson M., Lepage C., Rueckert D., Thompson P., Vercauteren T., Woods R.P., Mann J.J., Parsey R.V.","Evaluation of 14 nonlinear deformation algorithms applied to human brain MRI registration",2009,1442,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64949166881&doi=10.1016%2fj.neuroimage.2008.12.037&partnerID=40&md5=ef7d03d5dcdb1cb22553384824fd6fae","National Institutes of Health

National Institute of Mental Health

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering

Wellcome Trust

Biotechnology and Biological Sciences Research Council","Final"
"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.","Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate",2010,1354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955623505&doi=10.1126%2fscience.1184984&partnerID=40&md5=ec88be350308611ca1a70311c004f35c","National Science Foundation

Seventh Framework Programme

Natural Environment Research Council","Final"
"Rada R., Mili H., Bicknell E., Blettner M.","Development and Application of a Metric on Semantic Nets",1989,1302,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024480920&doi=10.1109%2f21.24528&partnerID=40&md5=61725f5789ba9295f57c469d4297e01b","National Science Foundation","Final"
"Patenaude B., Smith S.M., Kennedy D.N., Jenkinson M.","A Bayesian model of shape and appearance for subcortical brain segmentation",2011,1292,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955484518&doi=10.1016%2fj.neuroimage.2011.02.046&partnerID=40&md5=f8df1612ad64245abd49baf00a4f361a","National Institutes of Health

National Institute of Mental Health

National Institute on Drug Abuse

National Institute of Neurological Disorders and Stroke

National Center for Research Resources

Eunice Kennedy Shriver National Institute of Child Health and Human Development

Engineering and Physical Sciences Research Council

Biotechnology and Biological Sciences Research Council","Final"
"Fei-Fei L., Fergus R., Perona P.","One-shot learning of object categories",2006,1245,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33144466753&doi=10.1109%2fTPAMI.2006.79&partnerID=40&md5=4a3acd50347d2c149084ab8ea2119043","Engineering and Physical Sciences Research Council

European Commission","Final"
"Gurcan M.N., Boucheron L.E., Can A., Madabhushi A., Rajpoot N.M., Yener B.","Histopathological Image Analysis: A Review",2009,964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956941136&doi=10.1109%2fRBME.2009.2034865&partnerID=40&md5=71ba7b743f23830bc9e39db2992f5536","National Cancer Institute

U.S. National Library of Medicine","Final"
"Xue B., Zhang M., Browne W.N., Yao X.","A Survey on Evolutionary Computation Approaches to Feature Selection",2016,608,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982830440&doi=10.1109%2fTEVC.2015.2504420&partnerID=40&md5=3c43a953fb6b88cb0e9fabebcd90ba2e","Engineering and Physical Sciences Research Council

Royal Society

Royal Society Te Apārangi

Victoria University of Wellington

National Natural Science Foundation of China","Final"
"Zhan Z.-H., Zhang J., Li Y., Shi Y.-H.","Orthogonal learning particle swarm optimization",2011,535,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455205925&doi=10.1109%2fTEVC.2010.2052054&partnerID=40&md5=00c8d5a987dfe5ace781c0d25bfb2b91","National Natural Science Foundation of China-Guangdong Joint Fund

Science and Technology Program of Suzhou","Final"
"McEliece R.J., MacKay D.J.C., Cheng J.-F.","Turbo decoding as an instance of Pearl's ""belief propagation"" algorithm",1998,528,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032001728&doi=10.1109%2f49.661103&partnerID=40&md5=c688ef4969ac335f78cd8b748cafdd95","National Science Foundation

Air Force Office of Scientific Research

Isaac Newton Institute for Mathematical Sciences","Final"
"Li B., Krishnan V.G., Mort M.E., Xin F., Kamati K.K., Cooper D.N., Mooney S.D., Radivojac P.","Automated inference of molecular mechanisms of disease from amino acid substitutions",2009,511,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350671733&doi=10.1093%2fbioinformatics%2fbtp528&partnerID=40&md5=34ca8e29873c02362fe3438b84aba6bc","National Science Foundation

National Institutes of Health

U.S. National Library of Medicine","Final"
"Pruim R.H.R., Mennes M., van Rooij D., Llera A., Buitelaar J.K., Beckmann C.F.","ICA-AROMA: A robust ICA-based strategy for removing motion artifacts from fMRI data",2015,486,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933042676&doi=10.1016%2fj.neuroimage.2015.02.064&partnerID=40&md5=29af9b0fbc2109f42156f8b561671454","Wellcome Trust

European Research Council

ZonMw

Vrije Universiteit Amsterdam

Nederlandse Organisatie voor Wetenschappelijk Onderzoek

Seventh Framework Programme","Final"
"Varma M., Zisserman A.","A statistical approach to material classification using image patch exemplars",2009,479,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349850950&doi=10.1109%2fTPAMI.2008.182&partnerID=40&md5=29d0ce3bd2e80667951b935c33f83d88","University of Oxford

European Commission","Final"
"Wang Z., Yang F., Ho D.W.C., Liu X.","Robust H∞ control for networked systems with random packet losses",2007,449,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547110542&doi=10.1109%2fTSMCB.2007.896412&partnerID=40&md5=37dab2e59dfe1dcf353f3774fc49515c","Alexander von Humboldt-Stiftung

City University of Hong Kong

Engineering and Physical Sciences Research Council

Nuffield Foundation

Royal Society

National Natural Science Foundation of China","Final"
"Liu Y., Wang Z., Liang J., Liu X.","Synchronization and state estimation for discrete-time complex networks with distributed delays",2008,437,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-52349098268&doi=10.1109%2fTSMCB.2008.925745&partnerID=40&md5=f2b9f27ba8ed1f0acc6460ebf67f43fd","Alexander von Humboldt-Stiftung

Engineering and Physical Sciences Research Council

Royal Society

National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province","Final"
"Hu W., Xiao X., Fu Z., Xie D., Tan T., Maybank S.","A system for learning statistical motion patterns",2006,434,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746576905&doi=10.1109%2fTPAMI.2006.176&partnerID=40&md5=560e1a7b310cf5896af29b30e41e019f","National Natural Science Foundation of China

Natural Science Foundation of Beijing Municipality","Final"
"de Oliveira T., Deforche K., Cassol S., Salminen M., Paraskevis D., Seebregts C., Snoeck J., van Rensburg E.J., Wensing A.M.J., van de Vijver D.A., Boucher C.A., Camacho R., Vandamme A.-M.","An automated genotyping system for analysis of HIV-1 and other microbial sequences",2005,404,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27544496497&doi=10.1093%2fbioinformatics%2fbti607&partnerID=40&md5=21f926c3e33f495d0244ae15ee780cbb","Wellcome Trust

European Commission

Agentschap voor Innovatie door Wetenschap en Technologie

KU Leuven","Final"
"German D.C., Manaye K.F., White C.L., III, Woodward D.J., McIntire D.D., Smith W.K., Kalaria R.N., Mann D.M.A.","Disease‐specific patterns of locus coeruleus cell loss",1992,389,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026492005&doi=10.1002%2fana.410320510&partnerID=40&md5=a6f6ebace59efccf11ee714cb2ca2a74","National Institute on Aging","Final"
"Youyou W., Kosinski M., Stillwell D.","Computer-based personality judgments are more accurate than those made by humans",2015,383,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921802546&doi=10.1073%2fpnas.1418680112&partnerID=40&md5=ea4b2513acbd12ed81da744ff4b40f9d","Defense Advanced Research Projects Agency

Microsoft Research

National Science Foundation

Stanford University","Final"
"Knijnenburg B.P., Willemsen M.C., Gantner Z., Soncu H., Newell C.","Explaining the user experience of recommender systems",2012,371,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866024894&doi=10.1007%2fs11257-011-9118-4&partnerID=40&md5=630981b0fc045565b7f6c4b9bc0f379d","Seventh Framework Programme","Final"
"Cully A., Clune J., Tarapore D., Mouret J.-B.","Robots that can adapt like animals",2015,359,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930637712&doi=10.1038%2fnature14422&partnerID=40&md5=b9b46dd63aa9f1f359e89d2088e22b82","Horizon 2020 Framework Programme

European Research Council

Direction Générale de l’Armement","Final"
"Torresani L., Hertzmann A., Bregler C.","Nonrigid structure-from-motion: Estimating shape and motion with hierarchical priors",2008,339,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-41749120316&doi=10.1109%2fTPAMI.2007.70752&partnerID=40&md5=2e0a1388b4fc12d5690b53d26a6fef24","National Science Foundation

Office of Naval Research

Alfred P. Sloan Foundation

Microsoft Research

Natural Sciences and Engineering Research Council of Canada

Canada Foundation for Innovation

Ontario Ministry of Research, Innovation and Science","Final"
"Zhang H., Yushkevich P.A., Alexander D.C., Gee J.C.","Deformable registration of diffusion tensor MR images with explicit orientation optimization",2006,332,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747816098&doi=10.1016%2fj.media.2006.06.004&partnerID=40&md5=8a60e2aa8c5591fa2b2c3812eb60c63a","National Institutes of Health

National Institute on Drug Abuse

National Institute of Neurological Disorders and Stroke

U.S. Public Health Service

Eunice Kennedy Shriver National Institute of Child Health and Human Development","Final"
"He J., Yao X.","Drift analysis and average time complexity of evolutionary algorithms",2001,303,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035276208&doi=10.1016%2fS0004-3702%2801%2900058-3&partnerID=40&md5=df85ca6f3e07090b04eb41103aca10db","Australian Research Council

National Natural Science Foundation of China

University of Birmingham

State Key Laboratory of Software Engineering

Wuhan University","Final"
"Celebi M.E., Iyatomi H., Schaefer G., Stoecker W.V.","Lesion border detection in dermoscopy images",2009,297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149164864&doi=10.1016%2fj.compmedimag.2008.11.002&partnerID=40&md5=0e4ad76936ed8556d8f532e84962528f","National Institutes of Health

National Cancer Institute

Small Business Innovation Research

Louisiana Board of Regents","Final"
"Dung P.M., Mancarella P., Toni F.","Computing ideal sceptical argumentation",2007,292,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548024853&doi=10.1016%2fj.artint.2007.05.003&partnerID=40&md5=8c1393062545644f01b4d9dd9146ad14","European Commission

Sixth Framework Programme","Final"
"Liu Y., Wang Z., Liang J., Liu X.","Stability and synchronization of discrete-time Markovian jumping neural networks with mixed mode-dependent time delays",2009,290,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67949117118&doi=10.1109%2fTNN.2009.2016210&partnerID=40&md5=8d2883ba1c769b5c1272da68231a56d9","Alexander von Humboldt-Stiftung

Engineering and Physical Sciences Research Council

Biotechnology and Biological Sciences Research Council

Royal Society

National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province

University of South China

Specialized Research Fund for the Doctoral Program of Higher Education of China","Final"
"Rodriguez-Galiano V., Sanchez-Castillo M., Chica-Olmo M., Chica-Rivas M.","Machine learning predictive models for mineral prospectivity: An evaluation of neural networks, random forest, regression trees and support vector machines",2015,289,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938951730&doi=10.1016%2fj.oregeorev.2015.01.001&partnerID=40&md5=de8890fea17a23445a3ec55fbbe49a44","European Commission

Ministerio de Economía y Competitividad

Junta de Andalucía","Final"
"Lu J., Ho D.W.C., Cao J., Kurths J.","Exponential synchronization of linearly coupled neural networks with impulsive disturbances",2011,287,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951674026&doi=10.1109%2fTNN.2010.2101081&partnerID=40&md5=a6f51b75139a5b5b9ccf0fae42e74cd1","Alexander von Humboldt-Stiftung

City University of Hong Kong

National Natural Science Foundation of China

Gottfried Wilhelm Leibniz Universität Hannover

Natural Science Foundation of Jiangsu Province

Specialized Research Fund for the Doctoral Program of Higher Education of China","Final"
"McKinney S.M., Sieniek M., Godbole V., Godwin J., Antropova N., Ashrafian H., Back T., Chesus M., Corrado G.C., Darzi A., Etemadi M., Garcia-Vicente F., Gilbert F.J., Halling-Brown M., Hassabis D., Jansen S., Karthikesalingam A., Kelly C.J., King D., Ledsam J.R., Melnick D., Mostofi H., Peng L., Reicher J.J., Romera-Paredes B., Sidebottom R., Suleyman M., Tse D., Young K.C., De Fauw J., Shetty S.","International evaluation of an AI system for breast cancer screening",2020,271,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077323295&doi=10.1038%2fs41586-019-1799-6&partnerID=40&md5=68d6d185ff8570b3ccc0aba40c528a90","NIHR Imperial Biomedical Research Centre

Office of Extramural Research, National Institutes of Health

Manchester Biomedical Research Centre

Google","Final"
"Kristan M., Matas J., Leonardis A., Vojir T., Pflugfelder R., Fernandez G., Nebehay G., Porikli F., Cehovin L.","A Novel Performance Evaluation Methodology for Single-Target Trackers",2016,264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992034892&doi=10.1109%2fTPAMI.2016.2516982&partnerID=40&md5=bd55a8de6670f9697c3f88171c17ddf1","Seventh Framework Programme","Final"
"Gray K.R., Aljabar P., Heckemann R.A., Hammers A., Rueckert D.","Random forest-based similarity measures for multi-modal classification of Alzheimer's disease",2013,254,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868215748&doi=10.1016%2fj.neuroimage.2012.09.065&partnerID=40&md5=75d22ac1e108b007e22f896d13056b07","National Institutes of Health

U.S. Food and Drug Administration

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

Alzheimer's Association

Dana Foundation

Abbott Laboratories

Bristol-Myers Squibb

Alzheimer's Drug Discovery Foundation

Eli Lilly and Company

AstraZeneca

Genentech

GlaxoSmithKline

Johnson and Johnson

Merck

Novartis

GE Healthcare

F. Hoffmann-La Roche

Schering-Plough

Synarc

Alzheimer's Disease Neuroimaging Initiative

Medical Research Council

Dunhill Medical Trust

Elan

Innogenetics

Bayer Schering","Final"
