Authors,Title,Year,Cited by,Link,Funding Details,Publication Stage
"Zadeh L.A.","The concept of a linguistic variable and its application to approximate reasoning-I",1975,8699,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016458950&doi=10.1016%2f0020-0255%2875%2990036-5&partnerID=40&md5=2072635cd42511cfb1de805dc609249b","National Science Foundation

Army Research Office","Final"
"Wright J., Yang A.Y., Ganesh A., Sastry S.S., Ma Y.","Robust face recognition via sparse representation",2009,7689,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61549128441&doi=10.1109%2fTPAMI.2008.79&partnerID=40&md5=39f75e5abd4191b495e297186fb1a04d","National Science Foundation","Final"
"Mitola III J., Maguire Jr. G.Q.","Cognitive radio: making software radios more personal",1999,7152,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033171330&doi=10.1109%2f98.788210&partnerID=40&md5=d33c91ef3f6303e194ce8e4c1b56ebc5","National Science Foundation","Final"
"Felzenszwalb P.F., Girshick R.B., McAllester D., Ramanan D.","Object detection with discriminatively trained part-based models",2010,6647,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955422240&doi=10.1109%2fTPAMI.2009.167&partnerID=40&md5=098113dbe52af5b479bad274ecf57f08","National Science Foundation","Final"
"Kohavi R., John G.H.","Wrappers for feature subset selection",1997,5711,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031381525&doi=10.1016%2fs0004-3702%2897%2900043-x&partnerID=40&md5=ae209bd9b1c6a6eef99daae1f55f062f","National Science Foundation","Final"
"Lustig M., Donoho D., Pauly J.M.","Sparse MRI: The application of compressed sensing for rapid MR imaging",2007,4048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36849088522&doi=10.1002%2fmrm.21391&partnerID=40&md5=5e85008afdd9ddcf67197b3b144796be","National Heart, Lung, and Blood Institute","Final"
"Esteva A., Kuprel B., Novoa R.A., Ko J., Swetter S.M., Blau H.M., Thrun S.","Dermatologist-level classification of skin cancer with deep neural networks",2017,3536,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016143105&doi=10.1038%2fnature21056&partnerID=40&md5=9c6a252c9ff39c399d2443bbdc240b81","National Institutes of Health

National Institute on Aging

National Institute of Neurological Disorders and Stroke

California Institute for Regenerative Medicine

Donald E. and Delia B. Baxter Foundation","Final"
"Fischl B., Van Der Kouwe A., Destrieux C., Halgren E., Ségonne F., Salat D.H., Busa E., Seidman L.J., Goldstein J., Kennedy D., Caviness V., Makris N., Rosen B., Dale A.M.","Automatically Parcellating the Human Cerebral Cortex",2004,2534,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-9144254529&doi=10.1093%2fcercor%2fbhg087&partnerID=40&md5=2ef5ad1cf23d046af5cf800420cbb887","National Institute of Mental Health

National Eye Institute

National Cancer Institute

National Institute of Neurological Disorders and Stroke

National Center for Research Resources

Amyotrophic Lateral Sclerosis Association

National Alliance for Research on Schizophrenia and Depression","Final"
"Sheikh H.R., Bovik A.C.","Image information and visual quality",2006,2239,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-31144478351&doi=10.1109%2fTIP.2005.859378&partnerID=40&md5=1781f3975edd979bae44d6f85ce693d5","National Science Foundation","Final"
"Blum A.L., Langley P.","Selection of relevant features and examples in machine learning",1997,2055,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031334221&doi=10.1016%2fs0004-3702%2897%2900063-5&partnerID=40&md5=d7502602e42c16322d11b3ac9e0f279c","National Science Foundation

Office of Naval Research

Alfred P. Sloan Foundation","Final"
