,Authors,Title,Year,Cited by,Funding Details,Country
0,"Tao F., Qi Q., Liu A., Kusiak A.",Data-driven smart manufacturing,2018,375.0,"National Natural Science Foundation of China

Beijing Nova Program

National Basic Research Program of China (973 Program)",Australia
1,"Zhang K., Gao X., Tao D., Li X.",Single image super-resolution with non-local means and steering kernel regression,2012,362.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities",Australia
2,"Kristan M., Matas J., Leonardis A., Vojir T., Pflugfelder R., Fernandez G., Nebehay G., Porikli F., Cehovin L.",A Novel Performance Evaluation Methodology for Single-Target Trackers,2016,264.0,Seventh Framework Programme,Australia
3,"Ding C., Choi J., Tao D., Davis L.S.",Multi-Directional Multi-Level Dual-Cross Patterns for Robust Face Recognition,2016,243.0,"National Science Foundation

Australian Research Council

China Scholarship Council",Australia
4,"Celebi M.E., Kingravi H.A., Iyatomi H., Aslandogan Y.A., Stoecker W.V., Moss R.H., Malters J.M., Grichnik J.M., Marghoob A.A., Rabinovitz H.S., Menzies S.W.",Border detection in dermoscopy images using statistical region merging,2008,241.0,National Cancer Institute,Australia
5,"Li H., Gao H., Shi P.",New passivity analysis for neural networks with discrete and distributed delays,2010,181.0,"Engineering and Physical Sciences Research Council

National Natural Science Foundation of China

National Key Research and Development Program of China",Australia
6,"Wu Z., Liu X., Ni Z., Yuan D., Yang Y.",A market-oriented hierarchical scheduling strategy in cloud workflow systems,2013,180.0,"Australian Research Council

National Natural Science Foundation of China",Australia
7,"Song Q., Liu F., Cao J., Yu W.",M-matrix strategies for pinning-controlled leader-following consensus in multiagent systems with nonlinear dynamics,2013,166.0,0,Australia
8,"Ren F., Ward L., Williams T., Laws K.J., Wolverton C., Hattrick-Simpers J., Mehta A.",Accelerated discovery of metallic glasses through iteration of machine learning and high-throughput experiments,2018,164.0,"National Science Foundation

U.S. Department of Energy

National Institute of Standards and Technology

U.S. Department of Commerce

Advanced Manufacturing Office

National Stroke Foundation",Australia
9,"Lucey P., Cohn J.F., Matthews I., Lucey S., Sridharan S., Howlett J., Prkachin K.M.",Automatically detecting pain in video through facial action units,2011,160.0,"National Institute of Mental Health

Canadian Institutes of Health Research",Australia
10,"Gui J., Sun Z., Ji S., Tao D., Tan T.",Feature selection based on structured sparsity: a comprehensive study,2017,151.0,"National Science Foundation

Shanghai Key Laboratory of Intelligent Information Processing

Australian Research Council

National Natural Science Foundation of China

Zhejiang University

National Laboratory of Pattern Recognition

State Key Laboratory of Computer Aided Design and Computer Graphics",Australia
11,"Zeng Z., Zheng W.X.",Multistability of neural networks with time-varying delays and concave-convex characteristics,2012,130.0,"Australian Research Council

National Natural Science Foundation of China

Fok Ying Tung Education Foundation

National Key Research and Development Program of China",Australia
12,"Chen W., Peng J., Hong H., Shahabi H., Pradhan B., Liu J., Zhu A.-X., Pei X., Duan Z.","Landslide susceptibility modelling using GIS-based machine learning techniques for Chongren County, Jiangxi Province, China",2018,129.0,"University of Wisconsin-Madison

National Natural Science Foundation of China

Chinese Academy of Sciences

China Postdoctoral Science Foundation

Chengdu University of Technology

Education Department of Shaanxi Province

Shaanxi Province Postdoctoral Science Foundation

State Key Laboratory of Geohazard Prevention and Geoenvironment Protection

National Basic Research Program of China (973 Program)",Australia
13,"Li H., Yang D., Su W., Lu J., Yu X.",An Overall Distribution Particle Swarm Optimization MPPT Algorithm for Photovoltaic System under Partial Shading,2019,128.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities",Australia
14,"Wang P., Li W., Ogunbona P., Wan J., Escalera S.",RGB-D-based human motion recognition with deep learning: A survey,2018,121.0,"National Natural Science Foundation of China

Generalitat de Catalunya

Ministerio de Economía y Competitividad

European Regional Development Fund",Australia
15,"Geng B., Tao D., Xu C.",DAML: Domain adaptation metric learning,2011,120.0,"National Natural Science Foundation of China

National Key Research and Development Program of China",Australia
16,"Van Delden H., Seppelt R., White R., Jakeman A.J.",A methodology for the design and development of integrated models for policy support,2011,117.0,European Commission,Australia
17,"Bengtsson H., Irizarry R., Carvalho B., Speed T.P.",Estimation and assessment of raw copy numbers at the single locus level,2008,113.0,"National Institute of General Medical Sciences

National Center for Research Resources

Wenner-Gren Foundation

American-Scandinavian Foundation",Australia
18,"Tang M., Yao X.",A memetic algorithm for VLSI floorplanning,2007,113.0,National Natural Science Foundation of China,Australia
19,"Wu L., Zheng W.X.",L2-L∞ control of nonlinear fuzzy itô stochastic delay systems via dynamic output feedback,2009,111.0,"Australian Research Council

University of Western Sydney

National Natural Science Foundation of China",Australia
20,"Sünderhauf N., Brock O., Scheirer W., Hadsell R., Fox D., Leitner J., Upcroft B., Abbeel P., Burgard W., Milford M., Corke P.",The limits and potentials of deep learning for robotics,2018,109.0,"Division of Information and Intelligent Systems

Intelligence Advanced Research Projects Activity

Australian Research Council

Deutsche Forschungsgemeinschaft",Australia
21,"Abdeljaber O., Avci O., Kiranyaz M.S., Boashash B., Sodano H., Inman D.J.",1-D CNNs for structural damage detection: Verification on a structural health monitoring benchmark data,2018,107.0,"National Science Foundation

National Aeronautics and Space Administration

Arizona State University",Australia
22,"Asami T., Bouix S., Whitford T.J., Shenton M.E., Salisbury D.F., McCarley R.W.",Longitudinal loss of gray matter volume in patients with first-episode schizophrenia: DARTEL automated analysis and ROI validation,2012,105.0,"National Institute of Mental Health

National Alliance for Research on Schizophrenia and Depression

National Health and Medical Research Council",Australia
