Soares, J.V.B.
Leandro, J.J.G.
Cesar Jr., R.M.
Jelinek, H.F.
Cree, M.J.
Karantonis, D.M.
Narayanan, M.R.
Mathie, M.
Lovell, N.H.
Celler, B.G.
Mirjalili, S.
Naseem, I.
Togneri, R.
Bennamoun, M.
Geng, X.
Zhou, Z.-H.
Smith-Miles, K.
Chen, Y.
Zhao, X.
Jia, X.
Phung, S.L.
Bouzerdoum, A.
Chai, D.
Dissanayake, S.D.
Armstrong, J.
Ong, Y.-S.
Lim, M.-H.
Zhu, N.
Wong, K.-W.
Mian, A.S.
Owens, R.
Tao, F.
Qi, Q.
Liu, A.
Kusiak, A.
Zhang, K.
Gao, X.
Tao, D.
Li, X.
Hong, C.
Yu, J.
Wan, J.
Wang, M.
Zhang, D.
Islam, M.M.
Lu, G.
Lu, J.
Behbood, V.
Hao, P.
Zuo, H.
Xue, S.
Zhang, G.
Yao, X.
Khosravi, A.
Nahavandi, S.
Creighton, D.
Atiya, A.F.
Wang, C.
Hill, D.J.
Holden, M.
Barrett, G.F.
Donald, S.G.
Liu, T.
Dia, H.
Caetano, T.S.
McAuley, J.J.
Cheng, L.
Le, Q.V.
Smola, A.J.
Rao, A.S.
Georgeff, M.P.
Begg, R.K.
Palaniswami, M.
Owen, B.
Hartley, R.
Trumpf, J.
Dai, Y.
Li, H.
Ding, C.
Choi, J.
Davis, L.S.
Chen, T.Y.
Leung, H.
Mak, I.K.
Khandoker, A.H.
Karmakar, C.K.
Wang, Y.
Hu, J.
Phillips, D.
Patel, M.
Lal, S.K.L.
Kavanagh, D.
Rossiter, P.
Alahakoon, D.
Yu, X.
Diro, A.A.
Chilamkurti, N.
Li, W.
Duan, L.
Xu, D.
Tsang, I.W.
Jiang, L.L.
Maskell, D.L.
Patra, J.C.
Xie, M.
Han, S.
Tian, B.
Parvin, S.
Meir, R.
Rätsch, G.
Legg, S.
Hutter, M.
Begg, R.
Kamruzzaman, J.
Dehzangi, A.
Heffernan, R.
Sharma, A.
Lyons, J.
Paliwal, K.
Sattar, A.
Nahar, J.
Imam, T.
Tickle, K.S.
Chen, Y.-P.P.
Ma, L.
Yang, X.
Xu, C.
Yang, Y.
Ma, Z.
Nie, F.
Chang, X.
Hauptmann, A.G.
Wu, Z.
Liu, X.
Ni, Z.
Yuan, D.
Wang, H.
Suter, D.
Schindler, K.
Shen, C.
Kahl, F.
Ling, S.H.
Iu, H.H.C.
Leung, F.H.F.
Chan, K.Y.
Kwok, N.M.
Ha, Q.P.
Nguyen, M.T.
Li, J.
Samali, B.
Governatori, G.
Maher, M.J.
Antoniou, G.
Billington, D.
Luk, K.C.
Ball, J.E.
Fernando, N.
Hong, Y.
Viterbo, E.
Ren, F.
Ward, L.
Williams, T.
Laws, K.J.
Wolverton, C.
Hattrick-Simpers, J.
Mehta, A.
Chen, S.H.
Jakeman, A.J.
Norton, J.P.
Brown, G.
Weber, D.
Zeng, Z.
Huang, T.
Zheng, W.X.
Wang, L.
Lam, B.S.Y.
Yan, H.
Gui, J.
Sun, Z.
Ji, S.
Tan, T.
Zhai, Y.
Gu, K.
Qiao, J.-F.
Lin, W.
Kay, J.
Reimann, P.
Diebold, E.
Kummerfeld, B.
Josang, A.
Slaney, J.
Thiébaux, S.
Li, G.
Pong, T.K.
Wu, X.
Yu, K.
Ding, W.
Zhu, X.
Pollack, J.B.
Blair, A.D.
Fong, S.
Wong, R.
Vasilakos, A.V.
Feng, Y.
Liu, Y.
Tong, X.
Liu, M.
Deng, S.
Reznik, L.
Ghanayem, O.
Bourmistrov, A.
Siddhpura, A.
Paurobally, R.
Gunes, H.
Piccardi, M.
Busch, A.
Boles, W.W.
Sridharan, S.
Lees, B.G.
Ritman, K.
Rintanen, J.
Heljanko, K.
Niemelä, I.
Ma, J.
Chin, T.-J.
Wu, Z.-G.
Shi, P.
Su, H.
Chu, J.
Yang, D.
Su, W.
Fung, I.W.H.
Tam, V.W.Y.
Lo, T.Y.
Lu, L.L.H.
Carneiro, G.
Nascimento, J.C.
Freitas, A.
Geng, B.
Lack, S.
Sobociński, P.
Maher, M.L.
De Silva Garza, A.G.
Wang, B.
McVeagh, P.
Petocz, P.
Brand-Miller, J.
Buntine, W.
Koprinska, I.
Rana, M.
Agelidis, V.G.
Quick, D.
Choo, K.-K.R.
Nguyen, P.
Tran, T.
Wickramasinghe, N.
Venkatesh, S.
Bengtsson, H.
Irizarry, R.
Carvalho, B.
Speed, T.P.
Manal, K.
Gonzalez, R.V.
Lloyd, D.G.
Buchanan, T.S.
Allam, Z.
Dhunny, Z.A.
Webb, G.I.
Hyde, R.
Cao, H.
Nguyen, H.L.
Petitjean, F.
Paisitkriangkrai, S.
Zhang, J.
Stacey, M.
McGregor, C.
Henderson-Sellers, B.
Tweedale, J.
Ichalkaranje, N.
Sioutis, C.
Jarvis, B.
Consoli, A.
Phillips-Wren, G.
Xu, Y.
Dong, Z.Y.
Meng, K.
Zhang, R.
Wong, K.P.
Abdeljaber, O.
Avci, O.
Kiranyaz, M.S.
Boashash, B.
Sodano, H.
Inman, D.J.
Tung, W.L.
Quek, C.
Cheng, P.
Asami, T.
Bouix, S.
Whitford, T.J.
Shenton, M.E.
Salisbury, D.F.
McCarley, R.W.
Faris, H.
Aljarah, I.
Lloyd, T.E.
Mammen, A.L.
Amato, A.A.
Weiss, M.D.
Needham, M.
Greenberg, S.A.
Monkaresi, H.
Calvo, R.A.
Argent, R.M.
Perraud, J.-M.
Rahman, J.M.
Grayson, R.B.
Podger, G.M.
Armston, J.D.
Denham, R.J.
Danaher, T.J.
Scarth, P.F.
Moffiet, T.N.
Sultana, N.
Peng, W.
Alhadad, R.
Abbot, J.
Marohasy, J.
Jayasumana, S.
Salzmann, M.
Harandi, M.
Hingston, P.
Chen, P.
Liu, P.
Huang, F.
Bower, M.
Dalgarno, B.
Kennedy, G.E.
Lee, M.J.W.
Kenney, J.
Richards, T.
Richards, L.
Patrick, J.
Li, M.
Kendall, Elizabeth A.
Domke, J.
Rocha, A.
Carvalho, T.
Goldenstein, S.
Wainer, J.
Tang, J.
Zha, Z.-J.
Chua, T.-S.
Makarynskyy, O.
Pires-Silva, A.A.
Makarynska, D.
Ventura-Soares, C.
Chaney, N.W.
Wood, E.F.
McBratney, A.B.
Hempel, J.W.
Nauman, T.W.
Brungard, C.W.
Odgers, N.P.
Hensher, D.A.
Ton, T.T.
Zhou, Y.
Shehzad, Z.
Kelly, C.
Reiss, P.T.
Cameron Craddock, R.
Emerson, J.W.
McMahon, K.
Copland, D.A.
Xavier Castellanos, F.
Milham, M.P.
Popenici, S.A.D.
Kerr, S.
Abbasi, M.
El Hanandeh, A.
Berglund, E.
Sitte, J.
Ifenthaler, D.
Widanapathirana, C.
Kiral-Kornek, I.
Roy, S.
Nurse, E.
Mashford, B.
Karoly, P.
Carroll, T.
Payne, D.
Saha, S.
Baldassano, S.
O'Brien, T.
Grayden, D.
Cook, M.
Freestone, D.
Harrer, S.
Li, F.
Li, C.
Zhang, Y.
Whisstock, J.C.
Song, J.
Urmson, C.
Baker, C.
Dolan, J.
Rybski, P.
Salesky, B.
Whittaker, W.R.
Ferguson, D.
Darms, M.
Kuhn, M.
Featherstone, W.E.
Rose, G.
Shao, H.
Han, Q.-L.
Edwards, G.
Compton, P.
Malor, R.
Srinivasan, A.
Lazarus, L.
Lai, D.T.H.
Shahin, M.A.
Jaksa, M.B.
Maier, H.R.
Sherrah, J.
Janney, P.
Van Den Hengel, A.
Armaghani, D.J.
Momeni, E.
Abad, S.V.A.N.K.
Khandelwal, M.
Nguyen, T.
Arnott, D.
Pervan, G.
Richards, J.A.
Asadi, H.
Dowling, R.
Yan, B.
Mitchell, P.
Gao, L.
Hailu, A.
Nguyen, A.N.
Lawley, M.J.
Hansen, D.P.
Bowman, R.V.
Clarke, B.E.
Duhig, E.E.
Colquist, S.
Oliensis, J.
Maetschke, S.R.
Madhamshettiwar, P.B.
Davis, M.J.
Ragan, M.A.
Qi, C.
Fourie, A.
Chen, Q.
Zhang, Q.
Shibl, R.
Lawley, M.
Debuse, J.
Pratama, M.
Anavatti, S.
Lughofer, E.
Lim, C.-P.
Anavatti, S.G.
Boyd, S.E.
Pike, R.N.
Rudy, G.B.
De La Banda, M.G.
Winkler, D.A.
Bui, E.N.
Sparrow, R.
Alazab, M.
Dick, A.
Geng, H.
Lu, K.
Kolodziej, J.
Ranjan, R.
Zomaya, A.Y.
Veeraraghavan, A.
Chellappa, R.
Srinivasan, M.
Dutta, R.
Smith, D.
Rawnsley, R.
Bishop-Hurley, G.
Hills, J.
Timms, G.
Henry, D.
May, D.B.
Sivakumar, M.
Brown, M.S.
Wilson, L.S.
Doust, B.D.
Gill, R.W.
Sun, C.
Mercurio, M.D.
Dambergs, R.G.
Cozzolino, D.
Herderich, M.J.
Smith, P.A.
Wibowo, S.
Deng, H.
Cai, S.
Su, K.
Siers, M.J.
Islam, M.Z.
Yin, K.
Huang, J.
Gui, L.
Wang, P.
Cooke, T.
Lingard, H.
Blismas, N.
Stranieri, A.
Wang, D.D.
Tieu, A.K.
De Boer, F.G.
Ma, B.
Yuen, W.Y.D.
Christie, M.
de Graaff, E.
Gao, J.
Brooks, M.J.
van den Hengel, A.
Zeleznikow, J.
Gawler, M.
Lewis, B.
Wang, J.
Lu, H.
Guo, Z.
Singh, V.
Gu, N.
Rahman, A.
Verma, B.
Goh, Y.M.
Chua, D.K.H.
Jin, H.
Chen, J.
He, H.
Williams, G.J.
Kelman, C.
O'Keefe, C.M.
Chua, K.C.
Chandran, V.
Acharya, U.R.
Lim, C.M.
Lam, H.F.
Ng, C.T.
Shelesh-Nezhad, K.
Siores, E.
Gursoy, D.
Chi, O.H.
Lu, L.
Nunkoo, R.
Zheng, F.
Zecchin, A.C.
Newman, J.P.
Dandy, G.C.
Karunajeewa, A.S.
Abeyratne, U.R.
Hukins, C.
Yuan, Z.
Tan, H.
Huber, T.
Burrage, K.
Purcell, A.T.
Gero, J.S.
Li, Z.
Keel, S.
Liu, C.
He, Y.
Meng, W.
Scheetz, J.
Lee, P.Y.
Shaw, J.
Ting, D.
Wong, T.Y.
Taylor, H.
Chang, R.
He, M.
Zalesky, A.
Nasution, B.B.
Khan, A.I.
Sivanathan, A.
Gharakheili, H.H.
Loi, F.
Radford, A.
Wijenayake, C.
Vishwanath, A.
Sivaraman, V.
Lee, W.S.
Bartlett, P.L.
Williamson, R.C.
Nguyen, H.
Bui, X.-N.
Tran, Q.-H.
Mai, N.-L.
Hou, C.
Yi, D.
Cheng, K.-O.
Law, N.-F.
Siu, W.-C.
Liew, A.W.-C.
Tang, X.
Ng, K.K.H.
Lee, C.K.M.
Zhang, S.Z.
Wu, K.
Ho, W.
Fu, Z.
Robles-Kelly, A.
Zhou, J.
Kwan, P.W.
Shi, D.
Deng, C.
Muñoz, M.A.
Kirley, M.
Halgamuge, S.K.
Barakat, N.H.
Bradley, A.P.
Kirkham, R.
Kearney, P.D.
Rogers, K.J.
Mashford, J.
Han, G.-S.
Yu, Z.-G.
Anh, V.
Priest, G.
Xu, Z.-B.
Huang, G.-B.
Wang, D.
Wu, P.P.-Y.
Campbell, D.
Merz, T.
Yeung, D.S.
Marling, C.R.
Petot, G.J.
Sterling, L.S.
Du, B.
Wang, Z.
Zhang, L.
Xu, X.
Song, M.
Huang, X.
Chen, C.
Bu, J.
Yuwono, M.
Moulton, B.D.
Su, S.W.
Nguyen, H.T.
Paliwal, K.K.
Wood, I.A.
Visscher, P.M.
Mengersen, K.L.
Hamilton, N.
Thanh, N.D.
Ali, M.
Son, L.H.
Xie, Y.
Xiang, Y.
Zhou, W.
Hassan, M.M.
Alelaiwi, A.
Alrubaian, M.
Wee, L.J.K.
Tan, T.W.
Ranganathan, S.
Robinson, M.D.
De Souza, D.P.
Keen, W.W.
Saunders, E.C.
McConville, M.J.
Likić, V.A.
Xu, J.-X.
Tan, Y.
Świecicka, A.
Seredynski, F.
Slezak, P.
Wang, T.
Luo, H.
Zheng, X.
Er, M.J.
Ward, J.K.
Tong, J.
Collins, L.
Platt, G.
Beliakov, G.
James, S.
Booth, R.
Meyer, T.
Daly, O.
Taniar, D.
Huang, Y.
Gedeon, T.D.
Wong, P.M.
Al-Madi, N.
Li, B.
Tan, X.
Davern, M.
Shaft, T.
Te'eni, D.
Thursky, K.A.
Mahemoff, M.
Tham, S.Y.
Agatonovic-Kustrin, S.
Jiang, Y.
Wen, J.
Chen, G.
Li, S.
Cao, W.
Ren, H.
Knibbs, L.D.
Abramson, M.J.
Guo, Y.
Gilbertson, J.K.
Kemp, J.
van Niekerk, A.
Koopman, B.
Zuccon, G.
Nguyen, A.
Bergheim, A.
Grayson, N.
Lum, M.E.
McMillan, A.J.
