Jayadeva
Khemchandani, R.
Chandra, S.
Soares, J.V.B.
Leandro, J.J.G.
Cesar Jr., R.M.
Jelinek, H.F.
Cree, M.J.
Scarselli, F.
Gori, M.
Tsoi, A.C.
Hagenbuchner, M.
Monfardini, G.
Karantonis, D.M.
Narayanan, M.R.
Mathie, M.
Lovell, N.H.
Celler, B.G.
Mirjalili, S.
Naseem, I.
Togneri, R.
Bennamoun, M.
Geng, X.
Zhou, Z.-H.
Smith-Miles, K.
Chen, Y.
Zhao, X.
Jia, X.
Phung, S.L.
Bouzerdoum, A.
Chai, D.
Li, X.
Yao, X.
Dissanayake, S.D.
Armstrong, J.
Ong, Y.-S.
Lim, M.-H.
Zhu, N.
Wong, K.-W.
Mian, A.S.
Owens, R.
Tao, F.
Qi, Q.
Liu, A.
Kusiak, A.
Zhang, K.
Gao, X.
Tao, D.
Hong, C.
Yu, J.
Wan, J.
Wang, M.
Tournier, J.-D.
Yeh, C.-H.
Calamante, F.
Cho, K.-H.
Connelly, A.
Lin, C.-P.
Zhang, D.
Islam, M.M.
Lu, G.
Lu, J.
Behbood, V.
Hao, P.
Zuo, H.
Xue, S.
Zhang, G.
Lê Cao, K.-A.
Boitard, S.
Besse, P.
Shawe-Taylor, J.
Bartlett, P.L.
Williamson, R.C.
Anthony, M.
Khosravi, A.
Nahavandi, S.
Creighton, D.
Atiya, A.F.
Wang, C.
Hill, D.J.
Yeung, D.-Y.
Chang, H.
Xiong, Y.
George, S.
Kashi, R.
Matsumoto, T.
Rigoll, G.
Holden, M.
Barrett, G.F.
Donald, S.G.
Liu, T.
Dia, H.
Kristan, M.
Matas, J.
Leonardis, A.
Vojir, T.
Pflugfelder, R.
Fernandez, G.
Nebehay, G.
Porikli, F.
Cehovin, L.
Caetano, T.S.
McAuley, J.J.
Cheng, L.
Le, Q.V.
Smola, A.J.
Rao, A.S.
Georgeff, M.P.
Begg, R.K.
Palaniswami, M.
Owen, B.
Hartley, R.
Trumpf, J.
Dai, Y.
Li, H.
Ding, C.
Choi, J.
Davis, L.S.
Chen, T.Y.
Leung, H.
Mak, I.K.
Khandoker, A.H.
Karmakar, C.K.
Celebi, M.E.
Kingravi, H.A.
Iyatomi, H.
Aslandogan, Y.A.
Stoecker, W.V.
Moss, R.H.
Malters, J.M.
Grichnik, J.M.
Marghoob, A.A.
Rabinovitz, H.S.
Menzies, S.W.
Wang, Y.
Hu, J.
Phillips, D.
Wirtz, J.
Patterson, P.G.
Kunz, W.H.
Gruber, T.
Lu, V.N.
Paluch, S.
Martins, A.
Salmon, P.
Stanton, N.
Walker, G.
Green, D.
Patel, M.
Lal, S.K.L.
Kavanagh, D.
Rossiter, P.
Alahakoon, D.
Yu, X.
Diro, A.A.
Chilamkurti, N.
Li, W.
Duan, L.
Xu, D.
Tsang, I.W.
Jiang, L.L.
Maskell, D.L.
Patra, J.C.
Xie, M.
Han, S.
Tian, B.
Parvin, S.
Meir, R.
Rätsch, G.
Legg, S.
Hutter, M.
Begg, R.
Kamruzzaman, J.
Wei, C.-L.
Rowe, G.T.
Briones, E.E.
Boetius, A.
Soltwedel, T.
Caley, M.J.
Soliman, Y.
Huettmann, F.
Qu, F.
Yu, Z.
Pitcher, C.R.
Haedrich, R.L.
Wicksten, M.K.
Rex, M.A.
Baguley, J.G.
Sharma, J.
Danovaro, R.
MacDonald, I.R.
Nunnally, C.C.
Deming, J.W.
Montagna, P.
Lévesque, M.
Weslawski, J.M.
Wlodarska-Kowalczuk, M.
Ingole, B.S.
Bett, B.J.
Billett, D.S.M.
Yool, A.
Bluhm, B.A.
Iken, K.
Narayanaswamy, B.E.
McIntosh, B.S.
Ascough, J.C.
Twery, M.
Chew, J.
Elmahdi, A.
Haase, D.
Harou, J.J.
Hepting, D.
Cuddy, S.
Jakeman, A.J.
Chen, S.
Kassahun, A.
Lautenbach, S.
Matthews, K.
Merritt, W.
Quinn, N.W.T.
Rodriguez-Roda, I.
Sieber, S.
Stavenga, M.
Sulis, A.
Ticehurst, J.
Volk, M.
Wrobel, M.
van Delden, H.
El-Sawah, S.
Rizzoli, A.
Voinov, A.
Dehzangi, A.
Heffernan, R.
Sharma, A.
Lyons, J.
Paliwal, K.
Sattar, A.
Song, L.
