Jayadeva
Khemchandani, R.
Chandra, S.
Ravi, K.
Ravi, V.
Varma, M.
Zisserman, A.
Nayak, P.C.
Sudheer, K.P.
Rangan, D.M.
Ramasastri, K.S.
Kale, A.
Sundaresan, A.
Rajagopalan, A.N.
Cuntoor, N.P.
Roy-Chowdhury, A.K.
Krüger, V.
Chellappa, R.
Singh, A.
Saha, S.
Raghava, G.P.S.
Aggarwal, S.K.
Saini, L.M.
Kumar, A.
Chakrabarti, A.
Sarkar, P.
Leelavathamma, B.
Nataraju, B.S.
Bhandari, A.K.
Singh, V.K.
Singh, G.K.
Gupta, S.
Kapoor, P.
Chaudhary, K.
Gautam, A.
Kumar, R.
Sun, Y.
Babu, P.
Palomar, D.P.
Rai, A.
Upadhyay, S.H.
Ahmad, S.
Gromiha, M.M.
Sarai, A.
Tabesh, A.
Teverovskiy, M.
Pang, H.-Y.
Kumar, V.P.
Verbel, D.
Kotsianti, A.
Saidi, O.
Malhotra, R.
Sood, A.K.
Ohdar, R.K.
Mahapatra, S.S.
Bhasin, M.
Tripathy, A.
Agrawal, A.
Rath, S.K.
Yang, A.Y.
Zhou, Z.
Balasubramanian, A.G.
Sastry, S.S.
Ma, Y.
Das, D.C.
Roy, A.K.
Sinha, N.
Muni, D.P.
Pal, N.R.
Das, J.
Gambhir, M.
Gupta, V.
Jain, S.K.
Das, A.
Srivastava, D.K.
Omkar, S.N.
Senthilnath, J.
Khandelwal, R.
Narayana Naik, G.
Gopalakrishnan, S.
Mitra, S.
Banka, H.
Pedrycz, W.
Pindoriya, N.M.
Singh, S.N.
Singh, S.K.
Zhang, D.
Kokare, M.
Biswas, P.K.
Chatterji, B.N.
Pham, B.T.
Pradhan, B.
Tien Bui, D.
Prakash, I.
Dholakia, M.B.
Khosravi, K.
Chapi, K.
Shirzadi, A.
Shahabi, H.
Revhaug, I.
Dheeba, J.
Albert Singh, N.
Tamil Selvi, S.
Wei, C.-L.
Rowe, G.T.
Briones, E.E.
Boetius, A.
Soltwedel, T.
Caley, M.J.
Soliman, Y.
Huettmann, F.
Qu, F.
Yu, Z.
Pitcher, C.R.
Haedrich, R.L.
Wicksten, M.K.
Rex, M.A.
Baguley, J.G.
Sharma, J.
Danovaro, R.
MacDonald, I.R.
Nunnally, C.C.
Deming, J.W.
Montagna, P.
Lévesque, M.
Weslawski, J.M.
Wlodarska-Kowalczuk, M.
Ingole, B.S.
Bett, B.J.
Billett, D.S.M.
Yool, A.
Bluhm, B.A.
Iken, K.
Narayanaswamy, B.E.
Carolin Mabel, M.
Fernandez, E.
Kumar, M.
Lakshmana Gomathi Nayagam, V.
Muralikrishnan, S.
Sivaraman, G.
Mohamed Imran, A.
Kowsalya, M.
Olatomiwa, L.
Mekhilef, S.
Shamshirband, S.
Mohammadi, K.
Petković, D.
Sudheer, C.
Kandaswamy, K.K.
Chou, K.-C.
Martinetz, T.
Möller, S.
Suganthan, P.N.
Sridharan, S.
Pugalenthi, G.
Patel, J.
Shah, S.
Thakkar, P.
Kotecha, K.
Banerjee, M.
Pal, S.K.
Kumar, N.
Verma, R.
Sharma, S.
Bhargava, S.
Vahadane, A.
Sethi, A.
Adarsh, B.R.
Raghunathan, T.
Jayabarathi, T.
Yang, X.-S.
Yazdani, M.
Chatterjee, P.
Zavadskas, E.K.
Hashemkhani Zolfani, S.
Kothari, D.P.
Abu-Rub, H.
Iqbal, A.
Ahmed, S.M.
Peng, F.Z.
Li, Y.
Baoming, G.
Kankar, P.K.
Sharma, S.C.
Harsha, S.P.
Singh, K.
Guntuku, S.C.
Thakur, A.
Hota, C.
Lin, C.-T.
Yeh, C.-M.
Liang, S.-F.
Chung, J.-F.
Dutta, R.
Hines, E.L.
Gardner, J.W.
Kashwan, K.R.
Bhuyan, M.
Garg, A.
Azmathullah, H.Md.
Deo, M.C.
Deolalikar, P.B.
Samuel, O.W.
Asogbon, G.M.
Sangaiah, A.K.
Fang, P.
Li, G.
Singh, H.
Ansari, H.R.
McIlraith, S.A.
Martin, D.L.
Sultana, S.
Roy, P.K.
Bandyopadhyay, S.
Mukhopadhyay, A.
Maulik, U.
Patil, M.A.
Tagade, P.
Hariharan, K.S.
Kolake, S.M.
Song, T.
Yeo, T.
Doo, S.
Sivaraman, K.
Senthil, M.
Sundareswaran, K.
Vigneshkumar, V.
Sankar, P.
Simon, S.P.
Srinivasa Rao Nayak, P.
Palani, S.
Mitra, R.
Sim, T.
Zhang, S.
Janakiraman, R.
Kumar, S.
