,area_type,availability,location,size,society,total_sqft,bath,balcony,price
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0
6,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25
9,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,,370.0
10,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0
11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0
13,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0
18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0
19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0
20,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0
21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0
22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0
23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,103.0
24,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25
